base_name,GT_Density_Metric,Completed_Density_Metric
ground_779_gt.ply,0.07371501009332362,0.015473781880797205
ground_679_gt.ply,0.099503337880407,0.025304353420703106
ground_128_gt.ply,0.270025716965963,0.08409221428788814
ground_1417_gt.ply,0.2830530357180831,0.08768305674286331
ground_1346_gt.ply,0.26293061268595036,0.08168971252199339
ground_1246_gt.ply,0.07228826460669094,0.013263118632545584
ground_704_gt.ply,0.08806121029856563,0.02140275900422256
ground_604_gt.ply,0.26948862983025856,0.08191726782149734
ground_155_gt.ply,0.2637171601771139,0.07970742386937041
ground_911_gt.ply,0.1906685562947046,0.033042228247633136
ground_811_gt.ply,0.1595940292790716,0.03228788259221653
ground_972_gt.ply,0.08808501870207013,0.0223283716650759
ground_1409_gt.ply,0.2671772314423899,0.08285500327268604
ground_1358_gt.ply,0.2775184673148373,0.0803442995129611
ground_872_gt.ply,0.13821271982970684,0.03155805125065152
ground_1258_gt.ply,0.0826294427295286,0.01575014101206594
ground_62_gt.ply,0.2667772121222076,0.08225849687962557
ground_281_gt.ply,0.2795737684116802,0.09271779593202537
ground_767_gt.ply,0.07973336065613423,0.01720794204241691
ground_381_gt.ply,0.25860128945825983,0.07933141680501234
ground_667_gt.ply,0.09506048372879332,0.021881362429217757
ground_136_gt.ply,0.2709173647433053,0.0792560523529754
ground_1192_gt.ply,0.15811179155323876,0.028152951864852397
ground_1325_gt.ply,0.2828041038057152,0.08696037270743971
ground_1092_gt.ply,0.07767898827245169,0.01734919971420939
ground_1225_gt.ply,0.09473129824539978,0.018581415884610396
ground_1254_gt.ply,0.09090099881262136,0.01773201842710477
ground_1354_gt.ply,0.2714399183853328,0.08336745133648403
ground_1405_gt.ply,0.2655655363925392,0.08447537568915142
ground_147_gt.ply,0.28323744253250766,0.08879407037184416
ground_616_gt.ply,0.25974208061768034,0.07947826940741377
ground_716_gt.ply,0.06141729328146868,0.014177741465582636
ground_1229_gt.ply,0.10675376769409184,0.024771681889173898
ground_803_gt.ply,0.17016966671150688,0.030207037334481844
ground_13_gt.ply,0.27089353704842195,0.0809789277698006
ground_1329_gt.ply,0.2941283855252534,0.09005636730274257
ground_903_gt.ply,0.17114207479487822,0.03737261308741476
ground_860_gt.ply,0.14110707300712574,0.03384894298328237
ground_70_gt.ply,0.28212057247533684,0.08894526624430675
ground_960_gt.ply,0.1226596234970073,0.029156462067067748
ground_124_gt.ply,0.2723094996639982,0.08098563527737478
ground_675_gt.ply,0.06511521518081292,0.013615655691202076
ground_393_gt.ply,0.2754883591522516,0.0886428559283584
ground_775_gt.ply,0.05804975629272618,0.01112908842057952
ground_293_gt.ply,0.27312567859994297,0.08730272195875477
ground_1237_gt.ply,0.045612719348923365,0.009317397168902798
ground_1080_gt.ply,0.12295824476656246,0.029450839710623497
ground_1337_gt.ply,0.2836335575001178,0.08768228585714608
ground_1180_gt.ply,0.12769076475692995,0.025034229396581696
ground_159_gt.ply,0.2870538572344042,0.08823629291776186
ground_608_gt.ply,0.27685945428568476,0.08624114052442505
ground_708_gt.ply,0.05427412937842237,0.019236701183000093
ground_58_gt.ply,0.27686296925774667,0.08742169191196973
ground_848_gt.ply,0.1459041232737351,0.024782840416723073
ground_1262_gt.ply,0.1367028266319181,0.02928118548318479
ground_1433_gt.ply,0.2844712909793635,0.08708012783812996
ground_948_gt.ply,0.16320261856525128,0.03200595307847579
ground_1362_gt.ply,0.2762616141507968,0.0846761254995145
ground_25_gt.ply,0.27250215119966004,0.08707035716083188
ground_835_gt.ply,0.14241688205975625,0.032777636052677896
ground_935_gt.ply,0.15378836583589317,0.033990783846029986
ground_620_gt.ply,0.28023415745273134,0.08895466386197509
ground_171_gt.ply,0.2581706291340591,0.07983725563612644
ground_497_gt.ply,0.26657492890771367,0.0827572201424442
ground_720_gt.ply,0.08179063643149297,0.02147494708963012
ground_597_gt.ply,0.2582179888986167,0.08238990068026271
ground_6_gt.ply,0.26915971400521876,0.08197142263478678
ground_643_gt.ply,0.27678808820248335,0.0846904763940008
ground_112_gt.ply,0.26065143525073814,0.08034084823058593
ground_743_gt.ply,0.05710043191369087,0.019669981812366736
ground_46_gt.ply,0.2688076501977096,0.07979089141561985
ground_856_gt.ply,0.1461096031892848,0.035449457896372064
ground_956_gt.ply,0.16369794435366822,0.03387830620718796
ground_489_gt.ply,0.28136944377127265,0.08654195865463343
ground_589_gt.ply,0.2880312218107956,0.09087269461521612
ground_1201_gt.ply,0.13701516052786686,0.025372318238348443
ground_1301_gt.ply,0.2784003295230656,0.08645383319258987
ground_1370_gt.ply,0.2699451470240448,0.08291781563345799
ground_1421_gt.ply,0.26672772828945096,0.08331926921170422
ground_1270_gt.ply,0.14595806271759615,0.03515198809062577
ground_927_gt.ply,0.14711631373697207,0.03136908506741369
ground_37_gt.ply,0.26090157284522386,0.08093817820881787
ground_827_gt.ply,0.164402762726471,0.03522514529397535
ground_585_gt.ply,0.27300357788432356,0.08374447004962673
ground_732_gt.ply,0.051381156868739675,0.019430104997759937
ground_485_gt.ply,0.2760750928293113,0.0878475111748062
ground_163_gt.ply,0.27718200220529404,0.08245058141719518
ground_632_gt.ply,0.2738076891240628,0.08129131765790397
ground_751_gt.ply,0.04225742513124736,0.023181643351453805
ground_100_gt.ply,0.2814351574867251,0.08770237698597699
ground_651_gt.ply,0.08656732667531303,0.020072399700791388
ground_944_gt.ply,0.15601684778401434,0.03406862675603407
ground_54_gt.ply,0.2815587466443259,0.0853236464997531
ground_844_gt.ply,0.16397020867083134,0.029231994870763788
