base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_779_gt.ply,0.07792932987417805,0.015951811963230415
ground_679_gt.ply,0.10434410242462656,0.025726609676566904
ground_128_gt.ply,0.28570231072649627,0.08731188296475252
ground_1417_gt.ply,0.29797152996927545,0.09276053016596765
ground_1346_gt.ply,0.2759493673615264,0.085722757578362
ground_1246_gt.ply,0.07569623679989272,0.013573829329241956
ground_704_gt.ply,0.0920650947750282,0.020753314553268655
ground_604_gt.ply,0.2831221279039774,0.08487980921551716
ground_155_gt.ply,0.27740105458129655,0.08358897136689387
ground_911_gt.ply,0.21265377110220082,0.035411673034746766
ground_811_gt.ply,0.14682603087019472,0.036343219988323516
ground_972_gt.ply,0.09270983992798915,0.02230788312759247
ground_1409_gt.ply,0.28256060613722417,0.08710829820804111
ground_1358_gt.ply,0.2929146181005272,0.0828803347816835
ground_872_gt.ply,0.14680010130234478,0.02993393529053846
ground_1258_gt.ply,0.08647555085946995,0.01649347412418702
ground_62_gt.ply,0.2811324539194711,0.08599237863891715
ground_281_gt.ply,0.29451518239701135,0.0974573876226991
ground_767_gt.ply,0.08411951824893543,0.017803428133043517
ground_381_gt.ply,0.27244003974415193,0.08284353044738717
ground_667_gt.ply,0.10013226186434225,0.02192491821450723
ground_136_gt.ply,0.28279684430730206,0.08195215581349125
ground_1192_gt.ply,0.14612127984349071,0.028168308735654776
ground_1325_gt.ply,0.3026990561103685,0.09056767003096812
ground_1092_gt.ply,0.08223890625253821,0.018100800790714112
ground_1225_gt.ply,0.10555694484670144,0.019535031575775574
ground_1254_gt.ply,0.09577507465794416,0.018743041135767607
ground_1354_gt.ply,0.2883034415759249,0.08687525265157375
ground_1405_gt.ply,0.2808741833057874,0.08878642111933187
ground_147_gt.ply,0.29695368595302807,0.09258728932557604
ground_616_gt.ply,0.27427684285063436,0.08299894411449399
ground_716_gt.ply,0.06420157674413024,0.014774926906183823
ground_1229_gt.ply,0.1240004744285174,0.02602495412144836
ground_803_gt.ply,0.17968278273189958,0.030504330640097093
ground_13_gt.ply,0.28630672961792647,0.0849951862053423
ground_1329_gt.ply,0.3154179443339702,0.09653266101998587
ground_903_gt.ply,0.1535613920504652,0.04313789273679095
ground_860_gt.ply,0.1426618166245549,0.039442670108417205
ground_70_gt.ply,0.29851058817765663,0.09338331613255407
ground_960_gt.ply,0.1337072996955359,0.03300218441999506
