base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_779_gt.ply,0.04210625103868423,0.019823194649344848
ground_679_gt.ply,0.051284240248159266,0.023856009249705545
ground_128_gt.ply,0.14975982484559253,0.07346070533926935
ground_1417_gt.ply,0.14955491859079698,0.0731223825500473
ground_1346_gt.ply,0.14376684163178202,0.07075082613691878
ground_1246_gt.ply,0.03523268082112068,0.016740254826547944
ground_704_gt.ply,0.04457452178947857,0.022152484943933713
ground_604_gt.ply,0.14589856463122738,0.07294864741687791
ground_155_gt.ply,0.14636837263845964,0.07130549198123258
ground_911_gt.ply,0.07727930167892531,0.03517626066967759
ground_811_gt.ply,0.054939663061406956,0.023337242526560754
ground_972_gt.ply,0.045886740717359,0.020906624788392555
ground_1409_gt.ply,0.14558874020269985,0.0734170327230458
ground_1358_gt.ply,0.14964109409152507,0.07538790641455395
ground_872_gt.ply,0.06298550209692433,0.029907008445449017
ground_1258_gt.ply,0.04000771620148843,0.021746678649142585
ground_62_gt.ply,0.14674588418679593,0.07535177949572931
ground_281_gt.ply,0.15386646995363804,0.07683167770030627
ground_767_gt.ply,0.04076658924180949,0.019534744101526957
ground_381_gt.ply,0.14176760365722568,0.07241433849591089
ground_667_gt.ply,0.04986156683718905,0.02561535274993219
ground_136_gt.ply,0.1468944402293637,0.07773299739948877
ground_1192_gt.ply,0.0684617550034917,0.0318172362452665
ground_1325_gt.ply,0.15365204451458242,0.07773540181467746
ground_1092_gt.ply,0.04003337246294926,0.01991321291811808
ground_1225_gt.ply,0.04189742783481991,0.01985506948927373
ground_1254_gt.ply,0.04817926934379661,0.020610467842686726
ground_1354_gt.ply,0.14794632626471885,0.07402522335766315
ground_1405_gt.ply,0.15165375814480314,0.0773938953675683
ground_147_gt.ply,0.154665797454476,0.07833135684289536
ground_616_gt.ply,0.14557730425340004,0.07232827159409726
ground_716_gt.ply,0.03316925107914094,0.01608647601012386
ground_1229_gt.ply,0.047133719090340954,0.02288838829745346
ground_803_gt.ply,0.07066302460483911,0.032834649970447174
ground_13_gt.ply,0.15072831872920883,0.07693838692435775
ground_1329_gt.ply,0.14732936764590285,0.07622762824368691
ground_903_gt.ply,0.06116175998345242,0.03165498565813097
ground_860_gt.ply,0.05962515675757881,0.02276827216996997
ground_70_gt.ply,0.1520957391838063,0.07697319266506579
ground_960_gt.ply,0.05237418746071146,0.022814743827671805
ground_124_gt.ply,0.1500461491772717,0.07609595013336831
ground_675_gt.ply,0.03525308908688732,0.017435427235932242
ground_393_gt.ply,0.15281507139693334,0.07365108562082931
ground_775_gt.ply,0.03071934741616056,0.015736081034480986
ground_293_gt.ply,0.15124394118329315,0.07784419783990355
ground_1237_gt.ply,0.020482883167726063,0.011647722551486462
ground_1080_gt.ply,0.06484078841419741,0.03290959284489941
ground_1337_gt.ply,0.1534351908962464,0.07465325864388073
ground_1180_gt.ply,0.061003378945251305,0.02747532244708978
ground_159_gt.ply,0.1572346635998492,0.07901114851660425
ground_608_gt.ply,0.15090117305777084,0.07677000162642192
ground_708_gt.ply,0.025396837802511233,0.012265869024864436
ground_58_gt.ply,0.1541433795969566,0.08043443641598305
ground_848_gt.ply,0.05993099968557408,0.027201248478542536
ground_1262_gt.ply,0.06342202820533036,0.029388669578905256
ground_1433_gt.ply,0.15494900642662998,0.07758066472523566
ground_948_gt.ply,0.04972109084731165,0.023705307100985378
ground_1362_gt.ply,0.15406711953775948,0.07542777955625368
ground_25_gt.ply,0.14365534363427754,0.0777788444553657
ground_835_gt.ply,0.05348385483995165,0.027040940631812206
ground_935_gt.ply,0.06087103519657648,0.029274179210878243
ground_620_gt.ply,0.15744407994336274,0.07814328856274425
ground_171_gt.ply,0.13846021694083527,0.06722779661928244
ground_497_gt.ply,0.14219200261698925,0.07490907403247836
ground_720_gt.ply,0.040531705476869184,0.020537152985168915
ground_597_gt.ply,0.14631005279697806,0.07114742924994294
ground_6_gt.ply,0.15007635384645446,0.07500471817875454
ground_643_gt.ply,0.15279352522920267,0.08002898511654119
ground_112_gt.ply,0.1379077933463275,0.07448466414782315
ground_743_gt.ply,0.030414238117255483,0.014645553549995131
ground_46_gt.ply,0.1443105326598568,0.07680675208688208
ground_856_gt.ply,0.06707559053291735,0.029759918844248737
ground_956_gt.ply,0.06900851946087966,0.031938333882629
ground_489_gt.ply,0.1532802316525621,0.07770964256387093
ground_589_gt.ply,0.15558199120955396,0.07891047803474245
ground_1201_gt.ply,0.06646003172355996,0.029913729199312417
ground_1301_gt.ply,0.15440876242996182,0.07302175497591833
ground_1370_gt.ply,0.15159602172711212,0.07730100607255522
ground_1421_gt.ply,0.1465288665574034,0.07999928386983497
ground_1270_gt.ply,0.07071129874263057,0.03438823597369471
ground_927_gt.ply,0.055077705662333505,0.02536326483637101
ground_37_gt.ply,0.14305021407050758,0.07418983310811336
ground_827_gt.ply,0.060433995938041773,0.027659833270120456
ground_585_gt.ply,0.14290873801280285,0.07143839912124532
ground_732_gt.ply,0.026120251123777666,0.013603361158885552
ground_485_gt.ply,0.1468209041975295,0.07378310567745296
ground_163_gt.ply,0.15479905167649816,0.0750713193747323
ground_632_gt.ply,0.1464374007817763,0.07492811546118375
ground_751_gt.ply,0.01809498336548743,0.014700360157964363
ground_100_gt.ply,0.1523661078532068,0.07414375660279587
ground_651_gt.ply,0.03802968790296135,0.020464182785422468
ground_944_gt.ply,0.06374743930387212,0.028717165415301393
ground_54_gt.ply,0.14975538427784826,0.07952416870324999
ground_844_gt.ply,0.06374836377267751,0.02749065688740815
ground_1313_gt.ply,0.15292190161023694,0.07550339951761781
ground_939_gt.ply,0.05593184642416345,0.026882364872478047
ground_1442_gt.ply,0.12961725032484864,0.07119670806745092
ground_29_gt.ply,0.14932249684599813,0.07465157371758463
ground_1213_gt.ply,0.05990988967775681,0.02806796106359174
ground_839_gt.ply,0.05491015198258526,0.027758951826876748
