base_name,GT_Density_Metric,Completed_Density_Metric
ground_779_gt.ply,0.13790623483172285,0.06524453406825646
ground_679_gt.ply,0.14014126076779213,0.06633927737443748
ground_128_gt.ply,0.14874746251935456,0.07277758502801847
ground_nofloor_164_gt.ply,0.07426117686583392,0.04064926290320969
ground_nofloor_482_gt.ply,0.042338606369118056,0.027771570535306735
ground_nofloor_582_gt.ply,0.055414827554323656,0.0323803934864191
ground_704_gt.ply,0.14164614518826518,0.06813618099865533
ground_604_gt.ply,0.1465197510641362,0.07054547137637146
ground_155_gt.ply,0.1446465004460901,0.06915163627290526
ground_nofloor_119_gt.ply,0.057206223768386064,0.03274023495411677
ground_62_gt.ply,0.14695362288274333,0.06917144900292249
ground_nofloor_65_gt.ply,0.03465226600290922,0.02238258590400934
ground_281_gt.ply,0.15580189523181193,0.07391489273858369
ground_767_gt.ply,0.15738560506552837,0.07388789982335314
ground_381_gt.ply,0.1433885102094099,0.06822105574443924
ground_667_gt.ply,0.14109051916526624,0.06920695418697648
ground_136_gt.ply,0.14697966181826688,0.06981689320116026
ground_nofloor_107_gt.ply,0.04787015999658264,0.026989165026037615
ground_nofloor_18_gt.ply,0.02257581814677861,0.009588905631027473
ground_nofloor_69_gt.ply,0.03472014872706849,0.02887935900702275
ground_nofloor_590_gt.ply,0.031728059364344426,0.025898844650021006
ground_nofloor_490_gt.ply,0.043588442831886225,0.028863048123867883
ground_nofloor_176_gt.ply,0.0724864003060732,0.04313370915292182
ground_nofloor_627_gt.ply,0.03817671523548429,0.02885548689132576
ground_147_gt.ply,0.15481437263188463,0.07427995215054521
ground_616_gt.ply,0.14372359227900666,0.0710978362126089
ground_nofloor_14_gt.ply,0.03765995186816211,0.024656294638815923
ground_716_gt.ply,0.14815410432398685,0.07057712071462995
ground_803_gt.ply,0.14982415100996874,0.0715863981618971
ground_13_gt.ply,0.1472127804239264,0.0694349650085691
ground_70_gt.ply,0.15167289808335938,0.07265545868597317
ground_nofloor_168_gt.ply,0.06858984637728305,0.035581402807628074
ground_124_gt.ply,0.14909202945649833,0.0716329726252134
ground_675_gt.ply,0.14763738582836836,0.06994212006507707
ground_393_gt.ply,0.14938984958063464,0.07329550364298335
ground_775_gt.ply,0.1496969677595688,0.07292105377316432
ground_nofloor_77_gt.ply,0.03784550882190211,0.02150114525047018
ground_293_gt.ply,0.14975589719865753,0.07275789771606958
ground_nofloor_115_gt.ply,0.04070457150654314,0.02587923531607574
ground_159_gt.ply,0.1539774754964437,0.07254622648947819
ground_608_gt.ply,0.1513171026582781,0.0726120169823361
ground_708_gt.ply,0.1475863491792815,0.06834071107375692
ground_58_gt.ply,0.15498261061784568,0.07197764863911424
ground_nofloor_611_gt.ply,0.06652063342396934,0.03837813951114897
ground_nofloor_140_gt.ply,0.0630763412968377,0.03576756094321688
ground_25_gt.ply,0.150515761633558,0.07278903245277202
ground_620_gt.ply,0.15358201442481373,0.07234255751002326
ground_171_gt.ply,0.1411134168951757,0.0670183662242145
ground_497_gt.ply,0.14758333004633492,0.06953417684428528
ground_720_gt.ply,0.15696450597002112,0.07271546847411235
ground_597_gt.ply,0.14578704258959405,0.06937551549356914
ground_nofloor_22_gt.ply,0.04150695066082495,0.027526936019232395
ground_6_gt.ply,0.14902119272652026,0.07043228252725056
ground_643_gt.ply,0.15210956763568556,0.07293354575164132
ground_112_gt.ply,0.14398930042684654,0.06976777724851513
ground_nofloor_41_gt.ply,0.037529136218756094,0.020988354267281347
ground_743_gt.ply,0.15520408217612078,0.07286122295308721
ground_46_gt.ply,0.14605975678376093,0.06936782017662438
ground_489_gt.ply,0.152759603873839,0.07326505236964821
ground_589_gt.ply,0.1567560550460678,0.07488961744974944
ground_nofloor_294_gt.ply,0.0659481232329839,0.031710575172891615
ground_nofloor_394_gt.ply,0.06498398196847774,0.040130429668395064
ground_nofloor_123_gt.ply,0.029287222758278747,0.016117184324198987
ground_nofloor_152_gt.ply,0.08024043962962202,0.042801301905447196
ground_nofloor_603_gt.ply,0.04955445302479199,0.031877422537770664
ground_nofloor_398_gt.ply,0.05770966110797172,0.033105736929297365
ground_nofloor_298_gt.ply,0.06424381065807264,0.04272137850237991
ground_37_gt.ply,0.1421072042769367,0.06963748556096372
ground_nofloor_30_gt.ply,0.05604526588402707,0.03707892264744191
ground_585_gt.ply,0.14748600226796418,0.06866226054666356
ground_732_gt.ply,0.14903903762081586,0.07224991806893734
ground_485_gt.ply,0.15276859278709964,0.07329230789154544
ground_163_gt.ply,0.1535685219569323,0.07294033009880894
ground_632_gt.ply,0.14886460971316814,0.07257482117048494
ground_751_gt.ply,0.14628387560284145,0.07002332626701996
ground_nofloor_53_gt.ply,0.05597959937481769,0.03265093311918178
ground_100_gt.ply,0.1591056123177563,0.07320687617812136
ground_651_gt.ply,0.15000943150954604,0.0690536978103717
ground_54_gt.ply,0.14993874035998112,0.07084918980470918
ground_nofloor_131_gt.ply,0.055124014740115024,0.0315002201484035
ground_nofloor_386_gt.ply,0.035564939904479134,0.02233151296840971
ground_29_gt.ply,0.15054656017746748,0.07330058238023705
ground_nofloor_286_gt.ply,0.05423265875617739,0.03516670408694637
ground_nofloor_351_gt.ply,0.06834251519383913,0.036392591552381184
ground_nofloor_400_gt.ply,0.06209203170908618,0.03547432447212517
ground_nofloor_251_gt.ply,0.09177916067579225,0.04846061131440346
ground_nofloor_500_gt.ply,0.07135896201772564,0.040952880301516274
ground_nofloor_84_gt.ply,0.04049499350731753,0.020397630637585262
ground_260_gt.ply,0.14574367732351468,0.06814681580045102
