base_name,GT_Density_Metric,Completed_Density_Metric
ground_779_gt.ply,0.041554130830036326,0.020055398302334822
ground_679_gt.ply,0.05566361055377109,0.026696608874420838
ground_128_gt.ply,0.14998935793933288,0.07281040814588563
ground_1417_gt.ply,0.15455953110530352,0.07425067784060761
ground_1346_gt.ply,0.14257211761196129,0.07121138636986334
ground_1246_gt.ply,0.0406033814876782,0.02235445315411535
ground_704_gt.ply,0.047456661450929936,0.0226625976120214
ground_604_gt.ply,0.14544401744740273,0.07268764271649934
ground_155_gt.ply,0.1456758093323091,0.0710675468659073
ground_911_gt.ply,0.09085088779006448,0.04180723447250385
ground_811_gt.ply,0.06118131185799219,0.02655265225984868
ground_972_gt.ply,0.04936129429610911,0.022488904887422678
ground_1409_gt.ply,0.14602181526184743,0.07193134694262941
ground_1358_gt.ply,0.14880332103678018,0.07297353030606085
ground_872_gt.ply,0.07258365015666905,0.03245737936118276
ground_1258_gt.ply,0.04740503595794972,0.02397720584460299
ground_62_gt.ply,0.1446564513636138,0.07220560207641954
ground_281_gt.ply,0.15241959235350755,0.07453108143264439
ground_767_gt.ply,0.04593481511628632,0.019524773788099067
ground_381_gt.ply,0.14348898881763414,0.06995818893090001
ground_667_gt.ply,0.0524936363201091,0.025587025717291195
ground_136_gt.ply,0.14342807380054123,0.07398817051182988
ground_1192_gt.ply,0.07130318292677117,0.03650620507019598
ground_1325_gt.ply,0.15144680476872047,0.07914900182535488
ground_1092_gt.ply,0.04571262038570473,0.020213605394634016
ground_1225_gt.ply,0.049914806377655115,0.021412157202298734
ground_1254_gt.ply,0.050303794050144825,0.02518556161286778
ground_1354_gt.ply,0.15003299016295857,0.07227920332618618
ground_1405_gt.ply,0.14643655566710442,0.0748317116678698
ground_147_gt.ply,0.15257704910008021,0.0764365799462132
ground_616_gt.ply,0.1457965957133999,0.07292103910084315
ground_716_gt.ply,0.037128805361473366,0.01580890445453383
ground_1229_gt.ply,0.05169644275156594,0.02691594301585102
ground_803_gt.ply,0.07914785450722948,0.03636564510562709
ground_13_gt.ply,0.14928009284319374,0.07480591751584816
ground_1329_gt.ply,0.1537927780465181,0.07734862432562246
ground_903_gt.ply,0.07408092093828385,0.03615559457727231
ground_860_gt.ply,0.06697110273141398,0.02846004571545275
ground_70_gt.ply,0.1525774649774906,0.07518167960483409
ground_960_gt.ply,0.0606915642007345,0.02737916268057186
ground_124_gt.ply,0.1497720170001398,0.07308240974168276
ground_675_gt.ply,0.03716891481072018,0.01729689587511279
ground_393_gt.ply,0.15194197056133218,0.07325196204658811
ground_775_gt.ply,0.03257017900522218,0.01721801806882145
ground_293_gt.ply,0.15081124499326273,0.0746889303906899
ground_1237_gt.ply,0.03075621833419751,0.012338521352750507
ground_1080_gt.ply,0.06762190795239674,0.03588734052462828
ground_1337_gt.ply,0.15358816925812926,0.07551565616283847
ground_1180_gt.ply,0.06524290618606246,0.031230953842700925
ground_159_gt.ply,0.15411904019156478,0.07691269746116217
ground_608_gt.ply,0.15285776826130593,0.07501964197166258
ground_708_gt.ply,0.029358846459070637,0.016526763226983307
ground_58_gt.ply,0.14949174290661463,0.07778657835152948
ground_848_gt.ply,0.07404282201819759,0.033709810952625256
ground_1262_gt.ply,0.06821282299705098,0.03300036366450906
ground_1433_gt.ply,0.15628377392297216,0.07473367577264105
ground_948_gt.ply,0.059289564760000954,0.02997468827346255
ground_1362_gt.ply,0.1489016616019978,0.07419814343940524
ground_25_gt.ply,0.14839350943073576,0.07653998401549032
ground_835_gt.ply,0.07178589025388327,0.03556221248644571
ground_935_gt.ply,0.06858306493526334,0.033885915573347955
ground_620_gt.ply,0.15498443832882314,0.07801182767939624
ground_171_gt.ply,0.1397160860119736,0.06851728167197269
ground_497_gt.ply,0.14567614540422,0.07574386254747462
ground_720_gt.ply,0.04417589896969253,0.022675952575821525
ground_597_gt.ply,0.145673020571157,0.07102280695790604
ground_6_gt.ply,0.14871120638692473,0.07375788534439828
ground_643_gt.ply,0.15063281954370372,0.07662119801037169
ground_112_gt.ply,0.14321005446146806,0.07229780848255762
ground_743_gt.ply,0.031057761578562878,0.017960957746377133
ground_46_gt.ply,0.14430824438239656,0.07511198492062786
ground_856_gt.ply,0.07338513629303542,0.03266692926235084
ground_956_gt.ply,0.0796207557168691,0.03709783026469131
ground_489_gt.ply,0.1526264121811668,0.07527516639883924
ground_589_gt.ply,0.15613536261365984,0.07689665436813332
ground_1201_gt.ply,0.06722593514137998,0.033425179499650876
ground_1301_gt.ply,0.14959279427385289,0.07487502550927325
ground_1370_gt.ply,0.14998716719577293,0.07617618933901682
ground_1421_gt.ply,0.14449688525834065,0.07637492572861071
ground_1270_gt.ply,0.075507743579379,0.037271357854499323
ground_927_gt.ply,0.06632847379104394,0.028549053875365427
ground_37_gt.ply,0.1415599750106532,0.06996705684004419
ground_827_gt.ply,0.07374052726428802,0.0360165041908438
ground_585_gt.ply,0.14627124528554358,0.07115022283632927
ground_732_gt.ply,0.02985293497744704,0.015573541204919703
ground_485_gt.ply,0.15073797634137087,0.07455851840269866
ground_163_gt.ply,0.15302116505620836,0.07340248646370656
ground_632_gt.ply,0.14728397991592598,0.07596011967858617
ground_751_gt.ply,0.024343645277304107,0.018284974727136492
ground_100_gt.ply,0.15676993710597406,0.07616587120113547
ground_651_gt.ply,0.04327959694893623,0.022315534169184522
ground_944_gt.ply,0.07253973017469799,0.032749532041283794
ground_54_gt.ply,0.1506356051298608,0.07715306293356555
ground_844_gt.ply,0.07512098962894219,0.0335930075980616
