base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_779_gt.ply,0.13599551570405405,0.06339024895716011
ground_679_gt.ply,0.13958094371003,0.06661404857360047
ground_128_gt.ply,0.14919696933107893,0.07443881951274602
ground_nofloor_164_gt.ply,0.06644681626906265,0.032078038424840374
ground_nofloor_482_gt.ply,0.0355020338590931,0.01782796402287154
ground_nofloor_582_gt.ply,0.04861724032917279,0.02250303809891699
ground_704_gt.ply,0.14244019706014177,0.06965108823382168
ground_604_gt.ply,0.14835435780061884,0.07082945108440208
ground_155_gt.ply,0.1407694974407346,0.06966309733540083
ground_nofloor_119_gt.ply,0.05607752161925731,0.026248046778217262
ground_62_gt.ply,0.14954264088899577,0.07253828249701301
ground_nofloor_65_gt.ply,0.03379579232563933,0.01864840177737743
ground_281_gt.ply,0.15765527714682176,0.07729696580285707
ground_767_gt.ply,0.1603452199966812,0.07581947344750292
ground_381_gt.ply,0.1453430734569731,0.07027591412996158
ground_667_gt.ply,0.13931955974136132,0.0696506050268978
ground_136_gt.ply,0.15103163215221152,0.07283952513127347
ground_nofloor_107_gt.ply,0.0438567777078442,0.02227259963963358
ground_nofloor_18_gt.ply,0.021029041590944857,0.008566628700513248
ground_nofloor_69_gt.ply,0.029607335502798905,0.01934732239112478
ground_nofloor_590_gt.ply,0.02908038496417978,0.016470984491608373
ground_nofloor_490_gt.ply,0.040185457136307126,0.020503033597578997
ground_nofloor_176_gt.ply,0.06372838683169617,0.03476579874007528
ground_nofloor_627_gt.ply,0.03444536976392741,0.016767480209792948
ground_147_gt.ply,0.15845509351270498,0.07564764931302176
ground_616_gt.ply,0.13952480974850073,0.06770378543843984
ground_nofloor_14_gt.ply,0.03354909381758657,0.017803902980347865
ground_716_gt.ply,0.1486357380466709,0.07101672376205947
ground_803_gt.ply,0.1485123916994386,0.07403788093072056
ground_13_gt.ply,0.15117400558825575,0.0707423595715359
ground_70_gt.ply,0.15663000420910025,0.07431018023172184
ground_nofloor_168_gt.ply,0.06378400320680304,0.029444259355679854
ground_124_gt.ply,0.1526669150173417,0.07540200583292311
ground_675_gt.ply,0.1503505955112049,0.06972294031123004
ground_393_gt.ply,0.1541629250896674,0.07452710082638911
ground_775_gt.ply,0.14931305619855378,0.07486941197177785
ground_nofloor_77_gt.ply,0.03570641996813478,0.018723959978906937
ground_293_gt.ply,0.15426729940470402,0.07677711887183944
ground_nofloor_115_gt.ply,0.03617131033764519,0.019997387528173892
ground_159_gt.ply,0.15653625171549368,0.0725617324131885
ground_608_gt.ply,0.14782643404492316,0.07552154235755756
ground_708_gt.ply,0.14631305511164786,0.06694330919730761
ground_58_gt.ply,0.15557196905496756,0.0756661159871215
ground_nofloor_611_gt.ply,0.0643752972741788,0.030988782490391876
ground_nofloor_140_gt.ply,0.05374786065310194,0.026918177701792126
ground_25_gt.ply,0.15182601940036725,0.07290342690678603
ground_620_gt.ply,0.15633735761501827,0.07380482350162507
ground_171_gt.ply,0.1402634086715265,0.06452308994624259
ground_497_gt.ply,0.1439919508361534,0.06964401684581592
ground_720_gt.ply,0.1556332118233988,0.07371446911824195
ground_597_gt.ply,0.14657597283809812,0.0688080454894216
ground_nofloor_22_gt.ply,0.03525502416143895,0.01849736817489809
ground_6_gt.ply,0.14874514121200333,0.07205109809451389
ground_643_gt.ply,0.15241676303790913,0.07537466477450068
ground_112_gt.ply,0.14304158943270492,0.07139113061938816
ground_nofloor_41_gt.ply,0.031920008514989946,0.015506841649396709
ground_743_gt.ply,0.1599570179054672,0.07456074818769058
ground_46_gt.ply,0.14631526257062608,0.07129051330819215
ground_489_gt.ply,0.15298462871154686,0.07577866742950065
ground_589_gt.ply,0.156763089459875,0.07702153228914349
ground_nofloor_294_gt.ply,0.053413012677905304,0.02411593734688989
ground_nofloor_394_gt.ply,0.062247705404276474,0.030100239435075078
ground_nofloor_123_gt.ply,0.023837409254621494,0.011575568755568394
ground_nofloor_152_gt.ply,0.06975545552372267,0.03383828884310752
ground_nofloor_603_gt.ply,0.04661143698853211,0.022106425277682456
ground_nofloor_398_gt.ply,0.05009278748934433,0.025140096933088083
ground_nofloor_298_gt.ply,0.05387511320476342,0.026299576771580464
ground_37_gt.ply,0.14034869462933947,0.07332319769534681
ground_nofloor_30_gt.ply,0.05069972447696443,0.026494449857158923
ground_585_gt.ply,0.14596980254119185,0.07109248871273308
ground_732_gt.ply,0.14873856586258621,0.07276910156590974
ground_485_gt.ply,0.1526549965609667,0.07251501746899808
ground_163_gt.ply,0.1537882758102383,0.07462401981388919
ground_632_gt.ply,0.14472524132684797,0.07176716433594313
ground_751_gt.ply,0.14817842793303465,0.07055900748914995
ground_nofloor_53_gt.ply,0.053768552795553586,0.02564559888406288
ground_100_gt.ply,0.1592113113219964,0.07392303185855052
ground_651_gt.ply,0.155805045167006,0.06881323462977647
ground_54_gt.ply,0.1491085005406425,0.07378214649420549
ground_nofloor_131_gt.ply,0.04767672866170652,0.023846788251764353
ground_nofloor_386_gt.ply,0.03349279896839736,0.016981824915332688
ground_29_gt.ply,0.15305440377762947,0.07693068944657594
ground_nofloor_286_gt.ply,0.04795481820390336,0.022270154605459176
ground_nofloor_351_gt.ply,0.06480842109089563,0.030106463735697975
ground_nofloor_400_gt.ply,0.05482203977344611,0.02720560132366237
ground_nofloor_251_gt.ply,0.08006023314303298,0.03906231155794169
ground_nofloor_500_gt.ply,0.06913732160920334,0.03522317252937968
ground_nofloor_84_gt.ply,0.03754633314069707,0.019153372062495934
ground_260_gt.ply,0.15063670573770135,0.07091234509271838
