base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_779_gt.ply,0.03816518771569805,0.022909769549820394
ground_679_gt.ply,0.03908541609435645,0.02292505677311862
ground_128_gt.ply,0.0406759856924017,0.02490512703056387
ground_nofloor_164_gt.ply,0.018933351153556884,0.01228855682981828
ground_nofloor_482_gt.ply,0.011708129411376082,0.006871374428509189
ground_nofloor_582_gt.ply,0.01354581778647233,0.008541308210373307
ground_704_gt.ply,0.03966252645766787,0.02360258914316338
ground_604_gt.ply,0.04098059165867976,0.023636353253237964
ground_155_gt.ply,0.039566310388211325,0.023431920275231242
ground_nofloor_119_gt.ply,0.01569465816897801,0.010124499868538361
ground_62_gt.ply,0.04052213963024123,0.024045545415206995
ground_nofloor_65_gt.ply,0.0,0.007623562579460646
ground_281_gt.ply,0.042160651495621426,0.02517467527871723
ground_767_gt.ply,0.04274016011984609,0.025384553085015263
ground_381_gt.ply,0.04063857076287222,0.023445158664048154
ground_667_gt.ply,0.03851114498424121,0.02310996869632897
ground_136_gt.ply,0.039783534294993456,0.024983227070267358
ground_nofloor_107_gt.ply,0.014717896798987622,0.00869610987166191
ground_nofloor_18_gt.ply,0.0,0.003160841500073523
ground_nofloor_69_gt.ply,0.0,0.006423934646003007
ground_nofloor_590_gt.ply,0.006638806597601386,0.005882384426155055
ground_nofloor_490_gt.ply,0.013620570255643845,0.008543006322207102
ground_nofloor_176_gt.ply,0.016316718923146387,0.01289476073591686
ground_nofloor_627_gt.ply,0.011462584086960487,0.006811778269101691
ground_147_gt.ply,0.044181326726125444,0.025358584171017537
ground_616_gt.ply,0.038358542182137634,0.02367715902628984
ground_nofloor_14_gt.ply,0.0,0.007236350439964529
ground_716_gt.ply,0.042964664715181115,0.024827227191366267
ground_803_gt.ply,0.04174503785262337,0.024579044379885145
ground_13_gt.ply,0.039821152010456023,0.023420373417618122
ground_70_gt.ply,0.04206159292585662,0.024915674455678313
ground_nofloor_168_gt.ply,0.017874107664016477,0.011137703119625548
ground_124_gt.ply,0.04087761657829626,0.0248759706003932
ground_675_gt.ply,0.0416142134840649,0.023315591133857904
ground_393_gt.ply,0.04137569349924414,0.024850905168996577
ground_775_gt.ply,0.04038298315461669,0.025347368095931293
ground_nofloor_77_gt.ply,0.0,0.007722672989568961
ground_293_gt.ply,0.04053631312245912,0.025345372088706502
ground_nofloor_115_gt.ply,0.010835083134242857,0.008139899975992288
ground_159_gt.ply,0.04190502901048221,0.024033426442261283
ground_608_gt.ply,0.040350171244550724,0.025021212110820798
ground_708_gt.ply,0.04148380772662778,0.022977701333159142
ground_58_gt.ply,0.04509093318532576,0.024193144434740483
ground_nofloor_611_gt.ply,0.01799141601513226,0.011347932316225155
ground_nofloor_140_gt.ply,0.01560114226853721,0.010717472457314105
ground_25_gt.ply,0.0403539864812398,0.024628856453490243
ground_620_gt.ply,0.040567431434070336,0.02432783442388923
ground_171_gt.ply,0.03960225694356873,0.021820912533662164
ground_497_gt.ply,0.040114794238728574,0.022878213119643016
ground_720_gt.ply,0.04266936341982766,0.02425562728576739
ground_597_gt.ply,0.0398907262737183,0.02360741481912263
ground_nofloor_22_gt.ply,0.007935938443107273,0.007615357693706724
ground_6_gt.ply,0.04072742605108459,0.02404245803937103
ground_643_gt.ply,0.0427517867997757,0.025079234365182487
ground_112_gt.ply,0.039825066567855796,0.023073892484503367
ground_nofloor_41_gt.ply,0.0,0.006617365013273285
ground_743_gt.ply,0.040035751083666735,0.02467398762301437
ground_46_gt.ply,0.04057219898830139,0.02327134248631775
ground_489_gt.ply,0.04144497683519453,0.02484520755101434
ground_589_gt.ply,0.0422646413134089,0.025423066000279687
ground_nofloor_294_gt.ply,0.014896493106157612,0.008973124845253618
ground_nofloor_394_gt.ply,0.01780973625710981,0.011710514831697926
ground_nofloor_123_gt.ply,0.0,0.004542280802652539
ground_nofloor_152_gt.ply,0.019925218177716968,0.012402016546814398
ground_nofloor_603_gt.ply,0.013925435796833596,0.008687082073835287
ground_nofloor_398_gt.ply,0.017117708155810405,0.0100825538778367
ground_nofloor_298_gt.ply,0.015378532333175791,0.009765402383081512
ground_37_gt.ply,0.039466006614721875,0.023957756954232662
ground_nofloor_30_gt.ply,0.016745535217718068,0.010206615176212658
ground_585_gt.ply,0.03826395202408972,0.023190684387775377
ground_732_gt.ply,0.039853439473299945,0.02435447150793778
ground_485_gt.ply,0.0429436891181478,0.02457104725407431
ground_163_gt.ply,0.041633329684920936,0.025482514180659648
ground_632_gt.ply,0.0397309572342347,0.025315687964046405
ground_751_gt.ply,0.04061960711162997,0.02384550051163991
ground_nofloor_53_gt.ply,0.014648945845257676,0.010247402698982496
ground_100_gt.ply,0.04261519024216148,0.025051252875831948
ground_651_gt.ply,0.04086997722368132,0.0228066939744402
ground_54_gt.ply,0.040178326850085544,0.024248797532842852
ground_nofloor_131_gt.ply,0.015994935659933943,0.009286976094349184
ground_nofloor_386_gt.ply,0.011142822308289144,0.007086282347630369
ground_29_gt.ply,0.04259156555239034,0.02554707216230448
ground_nofloor_286_gt.ply,0.013743982747200414,0.008555116989879916
ground_nofloor_351_gt.ply,0.017795491494957443,0.01173632307590916
ground_nofloor_400_gt.ply,0.01573532744460847,0.010574787837475425
ground_nofloor_251_gt.ply,0.021285439957847634,0.014721086269800907
ground_nofloor_500_gt.ply,0.019240981360114866,0.013778715093750539
ground_nofloor_84_gt.ply,0.013552807012403672,0.006857055000346533
ground_260_gt.ply,0.03758376956633734,0.02320595751412993
ground_531_gt.ply,0.0412150124779279,0.024877693366845664
ground_786_gt.ply,0.04054294856502454,0.023906203929365245
ground_360_gt.ply,0.04148028502747737,0.025084989816862607
ground_431_gt.ply,0.04178085485334936,0.024638128102718797
ground_686_gt.ply,0.03921138096507769,0.022778385350236012
ground_83_gt.ply,0.04151053956088872,0.02497933450095928
ground_203_gt.ply,0.041526829126013715,0.02442087168038211
ground_552_gt.ply,0.04048318843095459,0.022934096065192273
ground_303_gt.ply,0.03833441312084937,0.024020432214053495
ground_452_gt.ply,0.04285578981510095,0.024606003226821653
ground_nofloor_185_gt.ply,0.021683281156135666,0.013551734975054165
ground_nofloor_332_gt.ply,0.012693246773971975,0.008143552680978319
ground_nofloor_463_gt.ply,0.0,0.006108927551213645
ground_nofloor_232_gt.ply,0.01814030307183719,0.011957913566692499
ground_nofloor_563_gt.ply,0.017749336893149822,0.01030261373240252
ground_798_gt.ply,0.04143060880893045,0.02407594719558527
ground_698_gt.ply,0.04119434544614836,0.023585568074539404
ground_nofloor_512_gt.ply,0.01650994871631238,0.010891317590577387
ground_nofloor_243_gt.ply,0.01844893469284961,0.01213430185745416
ground_nofloor_412_gt.ply,0.016402179107721106,0.010918452097462825
ground_nofloor_343_gt.ply,0.0,0.0054447858408188735
ground_694_gt.ply,0.04052778124230668,0.02359829346187689
ground_423_gt.ply,0.04043150818828811,0.02401510584264427
ground_372_gt.ply,0.038573635857273685,0.023914258126003632
ground_794_gt.ply,0.04135282601247407,0.023924932814502885
ground_523_gt.ply,0.04024508618365656,0.024183005241707026
ground_nofloor_96_gt.ply,0.0,0.003219858384157309
ground_272_gt.ply,0.03855230285550829,0.022526558834358418
ground_91_gt.ply,0.04044132756151614,0.024847042721191037
ground_nofloor_189_gt.ply,0.019877755148491504,0.012294482943722852
ground_440_gt.ply,0.041911253227461955,0.024336514988369994
ground_311_gt.ply,0.0402811552009272,0.023697684083536952
ground_540_gt.ply,0.04034395263986511,0.02494735217026694
ground_211_gt.ply,0.04147083816562657,0.023527340390300987
ground_nofloor_571_gt.ply,0.01716520967864924,0.011853499665090294
ground_nofloor_220_gt.ply,0.01463814998947193,0.009833787073712894
ground_nofloor_471_gt.ply,0.0,0.0061929935536558095
ground_nofloor_320_gt.ply,0.013664816769610448,0.009701700359572948
