base_name,percentage_within_threshold
ground_ground_108_gt.ply,0.0
ground_ground_144_gt.ply,0.0
ground_ground_156_gt.ply,0.0
ground_ground_624_gt.ply,0.0
ground_ground_520_gt.ply,0.0
ground_ground_772_gt.ply,0.0
ground_ground_804_gt.ply,0.0
ground_ground_706_gt.ply,0.0
ground_ground_622_gt.ply,0.0
ground_ground_450_gt.ply,0.0
ground_ground_147_gt.ply,0.0
ground_ground_530_gt.ply,0.0
ground_ground_728_gt.ply,0.0
ground_ground_105_gt.ply,0.0
ground_ground_189_gt.ply,0.0
ground_ground_391_gt.ply,0.0
ground_ground_63_gt.ply,0.0
ground_ground_59_gt.ply,0.0
ground_ground_642_gt.ply,0.0
ground_ground_591_gt.ply,0.0
ground_ground_687_gt.ply,0.0
ground_ground_788_gt.ply,0.0
ground_ground_725_gt.ply,0.0
ground_ground_296_gt.ply,0.0
ground_ground_87_gt.ply,0.0
ground_ground_744_gt.ply,0.0
ground_ground_238_gt.ply,0.0
ground_ground_321_gt.ply,0.0
ground_ground_695_gt.ply,0.0
ground_ground_792_gt.ply,0.0
ground_ground_175_gt.ply,0.0
ground_ground_492_gt.ply,0.0
ground_ground_371_gt.ply,0.0
ground_ground_262_gt.ply,0.0
ground_ground_351_gt.ply,0.0
ground_ground_663_gt.ply,0.0
ground_ground_771_gt.ply,0.0
ground_ground_357_gt.ply,0.0
ground_ground_245_gt.ply,0.0
ground_ground_616_gt.ply,0.0
ground_ground_441_gt.ply,0.0
ground_ground_583_gt.ply,0.0
ground_ground_178_gt.ply,0.0
ground_ground_691_gt.ply,0.0
ground_ground_360_gt.ply,0.0
ground_ground_416_gt.ply,0.0
ground_ground_285_gt.ply,0.0
ground_ground_560_gt.ply,0.0
ground_ground_570_gt.ply,0.0
ground_ground_20_gt.ply,0.0
ground_ground_425_gt.ply,0.0
ground_ground_419_gt.ply,0.0
ground_ground_387_gt.ply,0.0
ground_ground_337_gt.ply,0.0
ground_ground_266_gt.ply,0.0
ground_ground_604_gt.ply,0.0
ground_ground_523_gt.ply,0.0
ground_ground_264_gt.ply,0.0
ground_ground_131_gt.ply,0.0
ground_ground_51_gt.ply,0.0
ground_ground_712_gt.ply,0.0
ground_ground_764_gt.ply,0.0
ground_ground_288_gt.ply,0.0
ground_ground_503_gt.ply,0.0
ground_ground_415_gt.ply,0.0
ground_ground_785_gt.ply,0.0
ground_ground_459_gt.ply,0.0
