base_name,EMD_Distance
ground_779_gt.ply,0.17340465651662387
ground_679_gt.ply,0.15400854120400462
ground_128_gt.ply,0.1625421189454894
ground_nofloor_164_gt.ply,0.24003022929249654
ground_nofloor_482_gt.ply,0.3381251459923229
ground_nofloor_582_gt.ply,0.233714025013843
ground_704_gt.ply,0.14887405192231387
ground_604_gt.ply,0.13678400344933261
ground_155_gt.ply,0.1783431076897824
ground_nofloor_119_gt.ply,0.22635035024950448
ground_62_gt.ply,0.18187280392562682
ground_nofloor_65_gt.ply,0.3694821455324953
ground_281_gt.ply,0.17476518218415538
ground_767_gt.ply,0.13184993124306005
ground_381_gt.ply,0.13972642993061257
ground_667_gt.ply,0.16344726929975448
ground_136_gt.ply,0.16147576714066075
ground_nofloor_107_gt.ply,0.17981936882267202
ground_nofloor_18_gt.ply,0.4780715188920535
ground_nofloor_69_gt.ply,0.41795574736398955
ground_nofloor_590_gt.ply,0.5627812736922599
ground_nofloor_490_gt.ply,0.5146039494548751
ground_nofloor_176_gt.ply,0.2719963551983423
ground_nofloor_627_gt.ply,0.4013455582165678
ground_147_gt.ply,0.13673319008375437
ground_616_gt.ply,0.16792795794152512
ground_nofloor_14_gt.ply,0.3648207117028489
ground_716_gt.ply,0.14942177285664654
ground_803_gt.ply,0.15919610599032813
ground_13_gt.ply,0.15214149913108369
ground_70_gt.ply,0.13599744649617604
ground_nofloor_168_gt.ply,0.22605243330170258
ground_124_gt.ply,0.13823805781937218
ground_675_gt.ply,0.17677848017796272
ground_393_gt.ply,0.13065143941741109
ground_775_gt.ply,0.14239717726056902
ground_nofloor_77_gt.ply,0.29643263987367274
ground_293_gt.ply,0.19261234690802154
ground_nofloor_115_gt.ply,0.34943375373520075
ground_159_gt.ply,0.1598645957784429
ground_608_gt.ply,0.17765298383729014
ground_708_gt.ply,0.1592874657284475
ground_58_gt.ply,0.180844175283357
ground_nofloor_611_gt.ply,0.18661146678348686
ground_nofloor_140_gt.ply,0.17536287704622094
ground_25_gt.ply,0.14883178409163622
ground_620_gt.ply,0.14738945256930672
ground_171_gt.ply,0.1368277053296466
ground_497_gt.ply,0.16929614435504786
ground_720_gt.ply,0.142221585170801
ground_597_gt.ply,0.13217769922293834
ground_nofloor_22_gt.ply,0.24715331581242903
ground_6_gt.ply,0.1499772126528043
ground_643_gt.ply,0.17532689122315626
ground_112_gt.ply,0.14677550428578656
ground_nofloor_41_gt.ply,0.2997379745638556
ground_743_gt.ply,0.17842883259414755
ground_46_gt.ply,0.17635107430154223
ground_489_gt.ply,0.14866149016310537
ground_589_gt.ply,0.140805125160641
ground_nofloor_294_gt.ply,0.21146024495427285
ground_nofloor_394_gt.ply,0.177185463989919
ground_nofloor_123_gt.ply,0.29205445757118254
ground_nofloor_152_gt.ply,0.31481569795866576
ground_nofloor_603_gt.ply,0.34145643145017635
ground_nofloor_398_gt.ply,0.2805393126088536
ground_nofloor_298_gt.ply,0.2097811746011683
ground_37_gt.ply,0.16171843142486508
ground_nofloor_30_gt.ply,0.2597950595031495
ground_585_gt.ply,0.15193739600077624
ground_732_gt.ply,0.14930301609179028
ground_485_gt.ply,0.12455220155624518
ground_163_gt.ply,0.1590078383683535
ground_632_gt.ply,0.1842055475763636
ground_751_gt.ply,0.137530418210472
ground_nofloor_53_gt.ply,0.2443759023293912
ground_100_gt.ply,0.16045447042332317
ground_651_gt.ply,0.1602426845324592
ground_54_gt.ply,0.15471764461937704
ground_nofloor_131_gt.ply,0.1865811278581547
ground_nofloor_386_gt.ply,0.3709498318211196
ground_29_gt.ply,0.17171858189473244
ground_nofloor_286_gt.ply,0.18762510068899318
ground_nofloor_351_gt.ply,0.1554154266145918
ground_nofloor_400_gt.ply,0.2709139583607174
ground_nofloor_251_gt.ply,0.23900550920201197
ground_nofloor_500_gt.ply,0.34301271058571675
ground_nofloor_84_gt.ply,0.37954627513547584
ground_260_gt.ply,0.18083336723180427
ground_531_gt.ply,0.1332157952081594
ground_786_gt.ply,0.156150871233045
ground_360_gt.ply,0.17791786481353028
ground_431_gt.ply,0.15706479671535686
ground_686_gt.ply,0.14105338724504787
ground_83_gt.ply,0.14159431218424165
ground_203_gt.ply,0.1512653226732986
ground_552_gt.ply,0.1468465368824441
ground_303_gt.ply,0.15182101830932473
ground_452_gt.ply,0.14048087028906903
ground_nofloor_185_gt.ply,0.17763932385808454
ground_nofloor_332_gt.ply,0.5823463892733116
ground_nofloor_463_gt.ply,0.5007386803923009
ground_nofloor_232_gt.ply,0.3292754473767268
ground_nofloor_563_gt.ply,0.29245915534717465
ground_798_gt.ply,0.15015635847016656
ground_698_gt.ply,0.18160587727217006
ground_nofloor_512_gt.ply,0.14716778814893086
ground_nofloor_243_gt.ply,0.33985348828359035
ground_nofloor_412_gt.ply,0.2985463986677432
ground_nofloor_343_gt.ply,0.4311096357216275
ground_694_gt.ply,0.17015096163966337
ground_423_gt.ply,0.14007241941312243
ground_372_gt.ply,0.17010518552235013
ground_794_gt.ply,0.14666224848206663
ground_523_gt.ply,0.15175336698391761
ground_nofloor_96_gt.ply,0.43433431813772266
ground_272_gt.ply,0.16064474847316454
ground_91_gt.ply,0.13481720891078713
ground_nofloor_189_gt.ply,0.1720818049224007
ground_440_gt.ply,0.13699620567450668
ground_311_gt.ply,0.14886220656052485
ground_540_gt.ply,0.14429634570173186
ground_211_gt.ply,0.13637592639287083
ground_nofloor_571_gt.ply,0.3548243394555496
ground_nofloor_220_gt.ply,0.27569164416611974
ground_nofloor_471_gt.ply,0.36829408681406556
ground_nofloor_320_gt.ply,0.18660370230546186
ground_nofloor_197_gt.ply,0.278663084851387
ground_nofloor_88_gt.ply,0.27249705347731534
ground_nofloor_275_gt.ply,0.2189411166034876
ground_nofloor_524_gt.ply,0.23786579869024752
ground_nofloor_375_gt.ply,0.4895579024387834
ground_nofloor_424_gt.ply,0.2519112602202158
ground_339_gt.ply,0.13585915855491373
ground_468_gt.ply,0.2080039005144808
ground_239_gt.ply,0.14985910925138096
ground_568_gt.ply,0.14092753165896404
ground_nofloor_208_gt.ply,0.23615133579902822
ground_nofloor_559_gt.ply,0.17701622116198915
ground_nofloor_308_gt.ply,0.20759660818060344
ground_nofloor_459_gt.ply,0.1367315506433409
ground_344_gt.ply,0.1768087606076288
ground_415_gt.ply,0.15439498634670815
ground_244_gt.ply,0.15225946319279327
ground_515_gt.ply,0.1462357706141529
ground_190_gt.ply,0.14151188881219287
ground_327_gt.ply,0.13139178125803175
ground_476_gt.ply,0.161326672651632
ground_227_gt.ply,0.1514346844402351
ground_576_gt.ply,0.1452003349044463
ground_nofloor_216_gt.ply,0.32625141891932763
ground_nofloor_547_gt.ply,0.30958803918425765
ground_nofloor_316_gt.ply,0.2549165039313586
ground_nofloor_447_gt.ply,0.3118037983456844
ground_nofloor_6_gt.ply,0.20411878570046113
ground_nofloor_436_gt.ply,0.45352816924996314
ground_nofloor_367_gt.ply,0.16377818504079433
ground_nofloor_536_gt.ply,0.14864140535674256
ground_nofloor_267_gt.ply,0.2505052974499467
ground_507_gt.ply,0.13394930854748324
ground_256_gt.ply,0.19240056003955128
ground_407_gt.ply,0.12973368524383178
ground_356_gt.ply,0.19261526998596334
ground_564_gt.ply,0.14295266321997138
ground_235_gt.ply,0.15133142455994603
ground_464_gt.ply,0.13356730203316763
ground_335_gt.ply,0.15324569361676588
ground_182_gt.ply,0.17531352745499526
ground_nofloor_428_gt.ply,0.1468025178519104
ground_nofloor_379_gt.ply,0.2046023169189416
ground_nofloor_528_gt.ply,0.27537874490179143
ground_nofloor_279_gt.ply,0.18088793419829288
ground_519_gt.ply,0.16374488501400283
ground_248_gt.ply,0.15339517570167546
ground_419_gt.ply,0.19882265977867156
ground_348_gt.ply,0.14210649306249318
ground_nofloor_455_gt.ply,0.1977092763860054
ground_nofloor_304_gt.ply,0.19092027460255345
ground_nofloor_555_gt.ply,0.22135954138511446
ground_nofloor_204_gt.ply,0.3731717526884019
ground_442_gt.ply,0.14692453951448176
ground_313_gt.ply,0.1560344734944591
ground_542_gt.ply,0.1561038011831942
ground_213_gt.ply,0.16621610333446582
ground_688_gt.ply,0.18486646018066147
ground_788_gt.ply,0.14959423354815632
ground_nofloor_573_gt.ply,0.15892269811266463
ground_nofloor_222_gt.ply,0.2847765679432867
ground_nofloor_473_gt.ply,0.201163989457661
ground_nofloor_322_gt.ply,0.24231979415437158
ground_nofloor_195_gt.ply,0.21000966348948483
ground_nofloor_510_gt.ply,0.16673220183118437
ground_nofloor_241_gt.ply,0.2576627930791564
ground_nofloor_410_gt.ply,0.3852303648453522
ground_nofloor_341_gt.ply,0.45025063769675405
ground_93_gt.ply,0.14400101807111026
ground_696_gt.ply,0.150534383208252
ground_421_gt.ply,0.13519641641461633
ground_370_gt.ply,0.12164424507326875
ground_796_gt.ply,0.17740984421771835
ground_521_gt.ply,0.1250582592004468
ground_270_gt.ply,0.18157330771006322
ground_nofloor_94_gt.ply,0.15501667465033986
ground_201_gt.ply,0.1591709591423726
ground_550_gt.ply,0.16649485670938488
ground_301_gt.ply,0.14886548849262946
ground_450_gt.ply,0.15118875864566764
ground_nofloor_98_gt.ply,0.1693847669729601
ground_nofloor_187_gt.ply,0.16600439784073284
ground_nofloor_330_gt.ply,0.4750310807019444
ground_nofloor_461_gt.ply,0.6532959374677605
ground_nofloor_230_gt.ply,0.1838773053524183
