base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_779_gt.ply,0.0,0.0001790305853114369
ground_679_gt.ply,0.01682243907507669,0.00038514892849158313
ground_128_gt.ply,0.040516316887559856,0.0018527787630571884
ground_1417_gt.ply,0.04332382345453552,0.0032424173538085155
ground_1346_gt.ply,0.039971302502142494,0.0035202582765966736
ground_1246_gt.ply,0.011865160143478019,0.0003017154891745463
ground_704_gt.ply,0.01477338230357833,0.00025855720956027953
ground_604_gt.ply,0.04153367848931466,0.0018057585589370535
ground_155_gt.ply,0.03968980644399109,0.0033395982011218744
ground_911_gt.ply,0.021074700707632413,0.0002904668873734659
ground_811_gt.ply,0.01592106244621581,0.00033024934109785565
ground_972_gt.ply,0.016093355886775955,0.0013663415177914097
ground_1409_gt.ply,0.04106170142249511,0.003935596981900522
ground_1358_gt.ply,0.0403899038117815,0.0037556893848575386
ground_872_gt.ply,0.018330062093216682,0.00025460337002693666
ground_1258_gt.ply,0.013608296229115658,0.00030699894592056253
ground_62_gt.ply,0.04020904763988532,0.0026944783175317953
ground_281_gt.ply,0.04151256953764613,0.006180150788332034
ground_767_gt.ply,0.015153370513541924,0.00020284127431227647
ground_381_gt.ply,0.03711463932049538,0.0024445704432702548
ground_667_gt.ply,0.017765934984660368,0.00035161124311991097
ground_136_gt.ply,0.0409393142279212,0.003293321159685984
ground_1192_gt.ply,0.019265535110008974,0.0002661775127074824
ground_1325_gt.ply,0.041138468554886974,0.003267612188297204
ground_1092_gt.ply,0.01450915074405705,0.00018496804086497404
ground_1225_gt.ply,0.014499524102548372,0.0001658615016056625
ground_1254_gt.ply,0.014838498363054994,0.0002805113142265395
ground_1354_gt.ply,0.04135722032804909,0.0020845384755760503
ground_1405_gt.ply,0.039782187822655246,0.004329977257249026
ground_147_gt.ply,0.0406366176289874,0.0031812308979433605
ground_616_gt.ply,0.03975201075537627,0.0013696646279596674
ground_716_gt.ply,0.011171829376556995,0.00017222560070790936
ground_1229_gt.ply,0.015708502411057004,0.0003446702221357221
ground_803_gt.ply,0.0197127269543241,0.00025858076894958544
ground_13_gt.ply,0.040571962550420684,0.001947126168257121
ground_1329_gt.ply,0.0417085651653539,0.002906742100309522
ground_903_gt.ply,0.01697354893976776,0.0003190348363933053
ground_860_gt.ply,0.01684748773703954,0.0003803367363242106
ground_70_gt.ply,0.04159872475007469,0.0029916545800742086
ground_960_gt.ply,0.014636326030004847,0.0005723315642954028
ground_124_gt.ply,0.041694364915705336,0.004084175712231275
ground_675_gt.ply,0.013927126440933125,0.00012712893434982197
ground_393_gt.ply,0.04089321571405326,0.003648702267504818
ground_775_gt.ply,0.0,0.00023800629466408892
ground_293_gt.ply,0.041146711699830966,0.004674132468714568
ground_1237_gt.ply,0.0,0.00013482890717621973
ground_1080_gt.ply,0.018126524140745722,0.00022131024679495552
ground_1337_gt.ply,0.04089560728863703,0.0033106292325697324
ground_1180_gt.ply,0.016925403290711336,0.0002397370712838201
ground_159_gt.ply,0.04296246156697628,0.003161823959617124
