base_name,Chamfer_Distance
ground_779_gt.ply,50.91127640972439
ground_679_gt.ply,44.81694748879595
ground_128_gt.ply,44.849194776634214
ground_704_gt.ply,41.39125505771922
ground_604_gt.ply,42.80298039796042
ground_155_gt.ply,45.20439333771861
ground_62_gt.ply,41.451517099905224
ground_281_gt.ply,42.30113764320795
ground_767_gt.ply,43.7771486080153
ground_381_gt.ply,40.62438292334109
ground_667_gt.ply,41.07169958301862
ground_136_gt.ply,42.83624946145902
ground_147_gt.ply,42.109410808564604
ground_616_gt.ply,44.07693519351164
ground_716_gt.ply,44.59393422497676
ground_803_gt.ply,43.28623795370217
ground_13_gt.ply,43.954495367081385
ground_70_gt.ply,41.01596531085624
ground_124_gt.ply,40.0910528639322
ground_675_gt.ply,41.989648271470585
ground_393_gt.ply,39.95128370067984
ground_775_gt.ply,45.200106798797194
ground_293_gt.ply,43.353611602885934
ground_159_gt.ply,43.049930879250674
ground_608_gt.ply,45.200657546892174
ground_708_gt.ply,43.10349003382133
ground_58_gt.ply,41.62373468705613
ground_25_gt.ply,42.902696366304475
ground_620_gt.ply,42.798697061500384
ground_171_gt.ply,39.14474710481344
ground_497_gt.ply,43.098646784268766
ground_720_gt.ply,42.8064682960793
ground_597_gt.ply,40.756893874985835
ground_6_gt.ply,42.70343249424859
ground_643_gt.ply,45.25858801874774
ground_112_gt.ply,41.89030263041455
ground_743_gt.ply,43.633840108201206
ground_46_gt.ply,44.060678156301265
ground_489_gt.ply,43.41368264673182
ground_589_gt.ply,42.80299740481162
ground_37_gt.ply,39.142775153657965
ground_585_gt.ply,40.90672419033432
ground_732_gt.ply,42.941377245063975
ground_485_gt.ply,42.35740154477681
ground_163_gt.ply,45.77366414614398
ground_632_gt.ply,51.5932890161868
ground_751_gt.ply,41.6934601958443
ground_100_gt.ply,44.26262138642844
ground_651_gt.ply,42.56604759550492
ground_54_gt.ply,43.552829738161336
ground_29_gt.ply,40.799558663336356
ground_260_gt.ply,40.19836828402103
ground_531_gt.ply,43.80470037865421
ground_786_gt.ply,43.700665705555984
ground_360_gt.ply,41.454249763067146
ground_431_gt.ply,42.689900169416426
ground_686_gt.ply,43.01698096751031
ground_83_gt.ply,43.409078346293086
ground_203_gt.ply,44.093212017874905
ground_552_gt.ply,42.32256127290757
ground_303_gt.ply,40.31817913128336
ground_452_gt.ply,42.48854088896741
ground_798_gt.ply,43.60384211776739
ground_698_gt.ply,43.974027008953705
ground_694_gt.ply,44.31399831780755
ground_423_gt.ply,40.869793116705495
ground_372_gt.ply,42.00433365911114
ground_794_gt.ply,42.2803006145312
ground_523_gt.ply,44.62270155220661
ground_272_gt.ply,43.268752337061606
ground_91_gt.ply,42.507442785994414
ground_440_gt.ply,41.51376506536227
ground_311_gt.ply,42.27800679346538
ground_540_gt.ply,45.507983371423684
ground_211_gt.ply,41.1962583841958
ground_339_gt.ply,40.081925177626474
ground_468_gt.ply,41.49756708652659
ground_239_gt.ply,38.79179048751898
ground_568_gt.ply,46.11252131940828
ground_344_gt.ply,46.411519640365114
ground_415_gt.ply,42.44083221102701
ground_244_gt.ply,44.173396981090804
ground_515_gt.ply,44.99010358712852
ground_190_gt.ply,48.000493794622926
ground_327_gt.ply,40.30581413857899
ground_476_gt.ply,39.31587667128047
ground_227_gt.ply,47.42752372930014
ground_576_gt.ply,41.19912272844735
ground_507_gt.ply,42.621976297949075
ground_256_gt.ply,42.45876985989696
ground_407_gt.ply,43.733282295356766
ground_356_gt.ply,40.177138755859055
ground_564_gt.ply,42.36868498804006
ground_235_gt.ply,45.90834101808468
ground_464_gt.ply,39.217121538466984
ground_335_gt.ply,40.161201921612644
ground_182_gt.ply,41.0914700179551
ground_519_gt.ply,40.21536356444384
ground_248_gt.ply,39.35909282404516
ground_419_gt.ply,43.29536200809957
ground_348_gt.ply,40.32354024785958
ground_442_gt.ply,43.778076274713804
ground_313_gt.ply,42.804853842849596
ground_542_gt.ply,42.64735604870564
ground_213_gt.ply,44.36221214639109
ground_688_gt.ply,44.46107510388049
ground_788_gt.ply,43.88146749395149
ground_93_gt.ply,41.49145585048911
ground_696_gt.ply,41.480028465562164
ground_421_gt.ply,38.288165184324
ground_370_gt.ply,38.130040345094976
ground_796_gt.ply,42.25830285549309
ground_521_gt.ply,41.096765374778066
ground_270_gt.ply,45.239195200214176
ground_201_gt.ply,45.59540838006834
ground_550_gt.ply,45.19735087494602
ground_301_gt.ply,40.08667551701921
ground_450_gt.ply,38.269415217643875
ground_81_gt.ply,42.17088630732459
ground_262_gt.ply,44.54234513880105
ground_533_gt.ply,43.52653735791042
ground_784_gt.ply,43.27303663859066
ground_362_gt.ply,42.20865231494575
ground_433_gt.ply,39.14717829496703
ground_684_gt.ply,41.59133709733638
ground_566_gt.ply,43.349515756233764
ground_237_gt.ply,42.97805450142006
ground_466_gt.ply,39.87577875185791
ground_337_gt.ply,40.69453228290299
ground_180_gt.ply,40.80216607774039
ground_578_gt.ply,42.76361640151338
ground_229_gt.ply,41.5076435083379
ground_478_gt.ply,43.14381283457032
ground_329_gt.ply,41.4232778553769
ground_505_gt.ply,43.89256536681285
ground_254_gt.ply,42.21234223189951
ground_405_gt.ply,39.35928118542518
ground_354_gt.ply,40.6156858721655
ground_192_gt.ply,43.5209470220245
ground_325_gt.ply,41.69967987565765
ground_474_gt.ply,44.11803227603085
ground_225_gt.ply,42.51251185930993
ground_574_gt.ply,45.06469134938398
ground_358_gt.ply,42.26551120758935
ground_409_gt.ply,45.971911490890655
ground_258_gt.ply,47.12968443702974
ground_509_gt.ply,42.8971559942304
ground_346_gt.ply,40.592345352851666
ground_417_gt.ply,42.2696875942499
ground_246_gt.ply,41.05938462348303
ground_517_gt.ply,47.08692702579667
ground_126_gt.ply,40.33787488746126
ground_677_gt.ply,42.96672382552898
ground_391_gt.ply,37.90507275846783
ground_777_gt.ply,45.94587966860981
ground_291_gt.ply,47.21035939628669
ground_72_gt.ply,40.95525618070399
ground_138_gt.ply,40.59813758235777
ground_669_gt.ply,42.6233621327771
ground_769_gt.ply,42.55311475249933
ground_801_gt.ply,42.49093072761877
ground_11_gt.ply,41.980823425470255
ground_145_gt.ply,39.507711195507206
ground_614_gt.ply,40.51268263702619
ground_714_gt.ply,43.14830723231713
ground_283_gt.ply,46.34488810432722
ground_765_gt.ply,44.953983036033904
ground_383_gt.ply,38.86811225600409
ground_665_gt.ply,43.444202777584145
ground_134_gt.ply,41.74624039637162
ground_60_gt.ply,46.533215152475506
ground_718_gt.ply,43.21669634996638
ground_618_gt.ply,45.782924758815106
ground_149_gt.ply,41.69777683541959
ground_706_gt.ply,42.51992080515947
ground_606_gt.ply,42.81465814388547
ground_157_gt.ply,39.638219872704326
ground_56_gt.ply,40.473073796861854
ground_753_gt.ply,46.81022000635257
ground_102_gt.ply,40.863211691514984
ground_653_gt.ply,44.95497001268216
ground_599_gt.ply,42.606050352820176
ground_499_gt.ply,44.32735086006246
ground_8_gt.ply,41.727759814973886
ground_48_gt.ply,38.01908858844606
ground_587_gt.ply,42.902897872023324
ground_730_gt.ply,43.814170162413056
ground_487_gt.ply,42.57997680120121
ground_161_gt.ply,41.56440124354725
ground_630_gt.ply,44.253373857157996
ground_35_gt.ply,40.462767159952776
ground_44_gt.ply,39.899789317383664
ground_4_gt.ply,38.11943548708703
ground_641_gt.ply,45.80633756360794
ground_110_gt.ply,43.6984830464049
ground_741_gt.ply,44.50262462338898
ground_39_gt.ply,43.4472268797233
ground_622_gt.ply,42.69520454168751
ground_173_gt.ply,41.59661469957092
ground_495_gt.ply,44.39863933267767
ground_722_gt.ply,45.76966293663264
ground_595_gt.ply,44.2645121909861
ground_27_gt.ply,43.57595037281193
ground_196_gt.ply,40.91352203823757
ground_470_gt.ply,44.507600581765836
ground_321_gt.ply,44.90139142611572
ground_570_gt.ply,55.32150046294742
ground_221_gt.ply,42.70913397450997
ground_413_gt.ply,44.572943183557456
ground_342_gt.ply,41.41740113845489
ground_513_gt.ply,43.56283110286892
ground_242_gt.ply,49.768653727397364
ground_188_gt.ply,41.354390630087515
ground_233_gt.ply,40.30176200179632
ground_562_gt.ply,44.784086746797904
ground_333_gt.ply,38.89742474957288
ground_462_gt.ply,37.365769294357456
ground_184_gt.ply,41.72282935236445
ground_250_gt.ply,42.79464834764149
ground_501_gt.ply,44.95457392123585
ground_350_gt.ply,44.32008444814156
ground_401_gt.ply,38.6584915949773
ground_529_gt.ply,42.451365108045664
ground_278_gt.ply,43.03561577735152
ground_429_gt.ply,39.66843119109563
ground_378_gt.ply,39.37338602017455
ground_554_gt.ply,45.050460079444925
ground_205_gt.ply,42.287379675526424
ground_454_gt.ply,39.454900843122786
ground_305_gt.ply,42.569892510961346
ground_85_gt.ply,42.42926051750409
ground_537_gt.ply,43.388411020011105
ground_266_gt.ply,41.508569830661024
ground_780_gt.ply,40.47147443850502
ground_437_gt.ply,42.54367118842417
ground_366_gt.ply,39.73128679957314
ground_680_gt.ply,43.08744930935312
ground_89_gt.ply,46.48502161855084
ground_317_gt.ply,41.85947730105634
ground_446_gt.ply,40.12094619105021
ground_217_gt.ply,44.952871242601205
ground_546_gt.ply,40.77060180562717
ground_97_gt.ply,37.936970507213054
ground_692_gt.ply,42.40860814121409
ground_374_gt.ply,43.65505003858844
ground_425_gt.ply,42.555995299985355
ground_792_gt.ply,45.32629601243406
ground_274_gt.ply,42.55088422085403
ground_525_gt.ply,43.18428318251554
ground_309_gt.ply,43.33348423964257
ground_458_gt.ply,39.426251210339274
ground_209_gt.ply,42.4585998084837
ground_558_gt.ply,42.76933115991578
ground_169_gt.ply,40.42471384851463
ground_638_gt.ply,42.34322896816645
ground_738_gt.ply,43.40340424058438
ground_40_gt.ply,49.49866842626773
ground_0_gt.ply,43.15331607170648
ground_114_gt.ply,42.647561873236775
ground_645_gt.ply,45.676839579052384
ground_745_gt.ply,41.02009749057609
ground_177_gt.ply,41.23124171162817
ground_626_gt.ply,44.352394790993976
ground_491_gt.ply,41.364077569413624
ground_726_gt.ply,42.46816804150605
ground_591_gt.ply,41.973673085556214
ground_23_gt.ply,40.278540700270874
ground_52_gt.ply,40.84126191130263
ground_757_gt.ply,42.71384218607155
ground_657_gt.ply,44.785635124885445
ground_106_gt.ply,41.01696921085579
ground_583_gt.ply,42.60904522197704
ground_734_gt.ply,44.074936192702715
ground_483_gt.ply,43.93323492454432
ground_634_gt.ply,43.29162056447819
ground_165_gt.ply,40.36738948930039
ground_31_gt.ply,40.69287943254281
ground_749_gt.ply,41.55246288778133
ground_649_gt.ply,43.24152711286058
ground_118_gt.ply,44.0811501476183
ground_809_gt.ply,47.18263278815544
ground_19_gt.ply,41.25136081310533
ground_287_gt.ply,43.24054127408411
ground_761_gt.ply,40.44964252893923
ground_387_gt.ply,37.11599890441901
ground_130_gt.ply,39.515833657904224
ground_661_gt.ply,41.36255499789718
ground_64_gt.ply,39.13191260440969
ground_702_gt.ply,45.43533203778295
ground_153_gt.ply,42.620635139606776
ground_602_gt.ply,40.9726913967724
ground_299_gt.ply,46.30278612530556
ground_399_gt.ply,41.03972872659011
ground_673_gt.ply,40.20288942960051
ground_122_gt.ply,42.62249075820904
ground_395_gt.ply,44.93933007329318
ground_773_gt.ply,41.32313925685005
ground_295_gt.ply,44.50135365573049
ground_76_gt.ply,40.588423039972625
ground_805_gt.ply,43.83389694915303
ground_15_gt.ply,44.432322436533205
ground_610_gt.ply,41.414844389698125
ground_141_gt.ply,39.63868402793721
ground_710_gt.ply,40.7711159182935
ground_68_gt.ply,41.25067673896629
ground_33_gt.ply,41.6171002947418
ground_581_gt.ply,43.454523822689296
ground_736_gt.ply,41.6852678965414
ground_481_gt.ply,38.97160075960346
ground_636_gt.ply,43.40361556927012
ground_167_gt.ply,43.15414772441118
ground_728_gt.ply,43.244036196689464
ground_628_gt.ply,44.24044706293903
ground_179_gt.ply,41.561473272701875
ground_755_gt.ply,46.63675503001174
ground_655_gt.ply,40.79119036286234
ground_104_gt.ply,40.81326904749207
ground_50_gt.ply,40.66193865165168
ground_21_gt.ply,42.840799442420014
ground_175_gt.ply,41.138157971291996
ground_624_gt.ply,43.96838964715412
ground_493_gt.ply,44.05504932955733
ground_724_gt.ply,42.3974100568664
ground_593_gt.ply,44.276116423139165
ground_108_gt.ply,42.73591032802171
ground_659_gt.ply,45.69399918314544
ground_759_gt.ply,45.50194740274303
ground_2_gt.ply,43.74048267144814
ground_116_gt.ply,42.91527419243542
ground_647_gt.ply,46.64810851489458
ground_747_gt.ply,43.605323232507295
ground_42_gt.ply,41.9835559313457
ground_612_gt.ply,44.372355736729915
ground_143_gt.ply,40.01990637755955
ground_712_gt.ply,39.98919746377293
ground_807_gt.ply,44.09945122797483
ground_17_gt.ply,41.52990512986918
ground_389_gt.ply,40.82407268612192
ground_289_gt.ply,41.11047929067195
ground_74_gt.ply,40.7937757006363
ground_671_gt.ply,43.77243779856635
ground_120_gt.ply,43.76766209252675
ground_397_gt.ply,42.88788686571926
ground_771_gt.ply,45.66236708664955
ground_297_gt.ply,44.961429095359534
ground_700_gt.ply,42.19249400357079
ground_151_gt.ply,41.18910142341818
ground_600_gt.ply,44.36028975799006
ground_78_gt.ply,43.46191152407511
