base_name,Hausdorff_Distance
ground_779_gt.ply,0.12529163912675878
ground_679_gt.ply,0.1256031176369909
ground_128_gt.ply,0.20772869016024945
ground_nofloor_164_gt.ply,0.6105697363645523
ground_nofloor_482_gt.ply,0.5874722532211664
ground_nofloor_582_gt.ply,0.9012078260682771
ground_704_gt.ply,0.12689190000688225
ground_604_gt.ply,0.15643441462489188
ground_155_gt.ply,0.201104941064556
ground_nofloor_119_gt.ply,0.6340036506470506
ground_62_gt.ply,0.09826354952799024
ground_nofloor_65_gt.ply,0.4151929394549212
ground_281_gt.ply,0.10906311748236248
ground_767_gt.ply,0.2076587020768815
ground_381_gt.ply,0.1177225359503996
ground_667_gt.ply,0.17054772735335633
ground_136_gt.ply,0.17826951748824316
ground_nofloor_107_gt.ply,0.5187919653419101
ground_nofloor_18_gt.ply,0.24635541361478422
ground_nofloor_69_gt.ply,0.6472084160308575
ground_nofloor_590_gt.ply,0.94959677889238
ground_nofloor_490_gt.ply,0.7723461010641157
ground_nofloor_176_gt.ply,0.6868061164541882
ground_nofloor_627_gt.ply,0.9079386891930721
ground_147_gt.ply,0.20040770544362924
ground_616_gt.ply,0.16980970597888925
ground_nofloor_14_gt.ply,0.42057571146476513
ground_716_gt.ply,0.19217067575672792
ground_803_gt.ply,0.16905867788672158
ground_13_gt.ply,0.24902161821569505
ground_70_gt.ply,0.12638137403720404
ground_nofloor_168_gt.ply,0.4805766166376915
ground_124_gt.ply,0.1939307507922606
ground_675_gt.ply,0.15101987199332262
ground_393_gt.ply,0.11844764520737204
ground_775_gt.ply,0.16033971781028472
ground_nofloor_77_gt.ply,0.5831735734233224
ground_293_gt.ply,0.13392545212309287
ground_nofloor_115_gt.ply,0.6169156973658669
ground_159_gt.ply,0.15796732207123232
ground_608_gt.ply,0.1533489084037564
ground_708_gt.ply,0.1638287167887748
ground_58_gt.ply,0.1310321883886189
ground_nofloor_611_gt.ply,0.5629537600155883
ground_nofloor_140_gt.ply,0.6140625011272545
ground_25_gt.ply,0.1802097268877915
ground_620_gt.ply,0.10866321723235924
ground_171_gt.ply,0.1611053836406562
ground_497_gt.ply,0.21755355333741577
ground_720_gt.ply,0.13511888311519238
ground_597_gt.ply,0.2287604973460749
ground_nofloor_22_gt.ply,0.46497100655018503
ground_6_gt.ply,0.14483365785366034
ground_643_gt.ply,0.16939642352573683
ground_112_gt.ply,0.2285469153217624
ground_nofloor_41_gt.ply,0.3577689328311235
ground_743_gt.ply,0.19324687021111892
ground_46_gt.ply,0.22250927741980478
ground_489_gt.ply,0.14856455284098624
ground_589_gt.ply,0.19085382167642487
ground_nofloor_294_gt.ply,0.6038883393312006
ground_nofloor_394_gt.ply,1.1105523443062506
ground_nofloor_123_gt.ply,0.503885684776758
ground_nofloor_152_gt.ply,0.6411772187736935
ground_nofloor_603_gt.ply,0.8594745374228152
ground_nofloor_398_gt.ply,0.5749078500343617
ground_nofloor_298_gt.ply,0.609934221689921
ground_37_gt.ply,0.21528388610921795
ground_nofloor_30_gt.ply,0.6140421002436751
ground_585_gt.ply,0.15740404187154272
ground_732_gt.ply,0.18345095224426844
ground_485_gt.ply,0.16111190012990492
ground_163_gt.ply,0.16117361887141152
ground_632_gt.ply,0.2295276879103164
ground_751_gt.ply,0.16385262001237885
ground_nofloor_53_gt.ply,0.5910064808901442
