base_name,Precision,Recall,Fscore
ground_128_gt.ply,88.818359375,74.81508875739645,81.21754464955725
ground_604_gt.ply,91.11328125,77.50246548323472,83.75853467961466
ground_155_gt.ply,89.208984375,77.03402366863905,82.67568175853816
ground_62_gt.ply,97.265625,92.24605522682445,94.68936378678787
ground_281_gt.ply,88.037109375,77.16962524654832,82.2459296689229
ground_381_gt.ply,95.263671875,76.66420118343196,84.9578742082771
ground_136_gt.ply,93.1640625,82.87721893491124,87.72008862629247
ground_147_gt.ply,97.119140625,79.8939842209073,87.66847198925348
ground_616_gt.ply,93.9453125,82.16222879684419,87.65957667883634
ground_13_gt.ply,34.66796875,3.6612426035502956,6.623034478599749
ground_70_gt.ply,97.412109375,86.32889546351085,91.5362339996509
ground_124_gt.ply,93.9453125,92.07347140039448,92.99997411338339
ground_393_gt.ply,95.263671875,71.83185404339251,81.90484019428096
ground_293_gt.ply,86.767578125,58.39497041420118,69.80850375677961
ground_159_gt.ply,88.818359375,66.01331360946746,75.73636709704024
ground_608_gt.ply,91.259765625,72.2016765285996,80.61972280338118
ground_58_gt.ply,70.654296875,60.37968441814595,65.11416513483658
ground_25_gt.ply,92.96875,70.9689349112426,80.49269661337168
ground_620_gt.ply,93.9453125,73.47140039447731,82.45644715557529
ground_171_gt.ply,85.986328125,82.29783037475346,84.101656503687
ground_497_gt.ply,94.091796875,81.61982248520711,87.41318059915253
ground_597_gt.ply,95.60546875,87.5,91.37333333333333
ground_6_gt.ply,95.5078125,82.96351084812623,88.7948079251775
ground_112_gt.ply,96.044921875,91.67899408284023,93.81118840758155
ground_46_gt.ply,97.021484375,93.02268244575936,94.98001314551232
ground_489_gt.ply,93.505859375,78.03254437869822,85.07133052053595
ground_589_gt.ply,94.7265625,73.65631163708086,82.87314542605154
ground_37_gt.ply,63.037109375,43.565088757396445,51.522713659635244
ground_585_gt.ply,89.697265625,69.2430966469428,78.1540490264098
ground_485_gt.ply,89.306640625,70.87031558185404,79.02747004975423
ground_163_gt.ply,91.40625,72.37426035502959,80.78445623641649
ground_632_gt.ply,94.43359375,86.74802761341223,90.42780318018534
ground_100_gt.ply,95.703125,78.46400394477317,86.23039746964234
ground_54_gt.ply,93.603515625,86.08234714003945,89.68552340810069
ground_29_gt.ply,97.0703125,89.80522682445759,93.29654874571996
ground_260_gt.ply,84.423828125,59.62771203155819,69.89164720582937
ground_531_gt.ply,91.845703125,77.7613412228797,84.21873145680716
ground_360_gt.ply,97.412109375,95.99358974358975,96.69764754623667
ground_431_gt.ply,92.67578125,81.5828402366864,86.77623397940742
ground_83_gt.ply,84.1796875,59.06065088757396,69.41769603769474
ground_203_gt.ply,83.984375,80.01725838264299,81.9528354184186
ground_552_gt.ply,93.9453125,75.60404339250493,83.78263008295409
ground_303_gt.ply,88.96484375,75.71499013806707,81.8068868316247
ground_452_gt.ply,97.75390625,78.37771203155819,87.00002405899265
ground_423_gt.ply,92.822265625,81.65680473372781,86.88227881429326
ground_372_gt.ply,95.361328125,73.37278106508876,82.93433834067625
ground_523_gt.ply,91.50390625,76.14644970414201,83.12177514140262
ground_272_gt.ply,94.921875,73.27416173570019,82.70493117427453
ground_91_gt.ply,100.0,34.49211045364892,51.29239230064162
ground_440_gt.ply,94.921875,75.7396449704142,84.25272567210673
ground_311_gt.ply,96.09375,77.90927021696253,86.05131020802153
ground_540_gt.ply,83.59375,58.00049309664694,68.48412214737345
ground_211_gt.ply,80.859375,57.544378698224854,67.23809682860434
ground_339_gt.ply,95.80078125,78.57495069033531,86.33703301546555
