base_name,Fscore_GT_to_Completed,Fscore_Completed_to_GT
ground_576_gt.ply,35.45275590551181,54.11417322834646
ground_562_gt.ply,35.0984251968504,46.61417322834646
ground_701_gt.ply,31.456692913385826,40.62992125984252
ground_451_gt.ply,37.10629921259843,52.69685039370079
ground_14_gt.ply,35.47244094488189,52.55905511811023
ground_762_gt.ply,35.0984251968504,55.59055118110236
ground_284_gt.ply,35.21653543307087,48.30708661417324
ground_728_gt.ply,34.50787401574804,50.84645669291338
ground_109_gt.ply,34.78346456692913,54.42913385826772
ground_63_gt.ply,36.27952755905512,57.16535433070866
ground_258_gt.ply,34.90157480314961,54.685039370078734
ground_250_gt.ply,36.37795275590551,52.106299212598415
ground_676_gt.ply,35.49212598425197,52.933070866141726
ground_195_gt.ply,33.36614173228347,43.87795275590551
ground_754_gt.ply,36.37795275590551,51.181102362204726
ground_696_gt.ply,36.04330708661417,57.834645669291326
ground_529_gt.ply,34.724409448818896,52.51968503937008
ground_61_gt.ply,36.02362204724409,54.527559055118104
ground_639_gt.ply,34.21259842519685,48.52362204724409
ground_388_gt.ply,36.16141732283465,59.960629921259844
ground_544_gt.ply,33.87795275590551,48.188976377952756
ground_164_gt.ply,34.76377952755905,51.102362204724415
ground_240_gt.ply,33.95669291338583,50.452755905511815
ground_169_gt.ply,36.43700787401575,51.51574803149606
ground_408_gt.ply,35.05905511811024,55.39370078740157
ground_283_gt.ply,35.15748031496063,52.362204724409445
ground_160_gt.ply,37.89370078740158,54.42913385826772
ground_461_gt.ply,36.476377952755904,52.57874015748031
ground_355_gt.ply,36.12204724409449,48.169291338582674
ground_466_gt.ply,36.8503937007874,54.527559055118104
ground_295_gt.ply,34.645669291338585,50.53149606299213
ground_711_gt.ply,34.409448818897644,54.72440944881889
ground_162_gt.ply,34.98031496062992,50.59055118110235
ground_452_gt.ply,36.16141732283465,48.188976377952756
ground_507_gt.ply,34.19291338582677,50.88582677165354
ground_133_gt.ply,36.43700787401575,51.476377952755904
ground_763_gt.ply,34.25196850393701,55.51181102362205
ground_293_gt.ply,36.24015748031496,52.48031496062991
ground_612_gt.ply,34.84251968503938,53.681102362204726
ground_579_gt.ply,34.98031496062992,55.472440944881896
ground_260_gt.ply,36.02362204724409,58.38582677165355
ground_125_gt.ply,36.417322834645674,51.00393700787402
ground_598_gt.ply,34.60629921259843,48.68110236220472
ground_641_gt.ply,34.74409448818897,46.53543307086615
ground_530_gt.ply,35.64960629921259,55.90551181102362
ground_593_gt.ply,35.610236220472444,51.53543307086614
ground_155_gt.ply,34.94094488188976,54.3503937007874
ground_158_gt.ply,34.90157480314961,47.814960629921266
ground_624_gt.ply,36.318897637795274,55.03937007874015
ground_746_gt.ply,32.08661417322835,42.696850393700785
ground_228_gt.ply,36.22047244094488,53.54330708661416
ground_366_gt.ply,36.8503937007874,61.417322834645674
ground_477_gt.ply,36.771653543307096,51.98818897637795
ground_69_gt.ply,34.80314960629921,49.78346456692914
ground_669_gt.ply,35.45275590551181,53.03149606299213
ground_509_gt.ply,34.27165354330708,49.84251968503936
ground_320_gt.ply,35.90551181102362,49.58661417322834
ground_502_gt.ply,33.48425196850393,45.05905511811023
ground_367_gt.ply,34.58661417322835,45.6496062992126
ground_601_gt.ply,34.13385826771653,49.11417322834645
ground_715_gt.ply,34.74409448818897,50.31496062992126
ground_629_gt.ply,33.05118110236221,50.29527559055118
ground_316_gt.ply,35.019685039370074,50.21653543307087
ground_178_gt.ply,35.846456692913385,49.074803149606296
ground_420_gt.ply,36.673228346456696,52.16535433070866
ground_36_gt.ply,36.29921259842519,52.539370078740156
ground_415_gt.ply,34.35039370078741,45.96456692913385
ground_34_gt.ply,36.771653543307096,57.08661417322835
ground_40_gt.ply,35.66929133858268,48.503937007874015
ground_151_gt.ply,36.16141732283465,50.21653543307087
ground_626_gt.ply,35.76771653543307,51.71259842519685
ground_681_gt.ply,33.58267716535433,50.15748031496064
ground_640_gt.ply,35.55118110236221,50.905511811023615
ground_95_gt.ply,35.13779527559055,48.79921259842519
ground_782_gt.ply,35.019685039370074,50.80708661417324
ground_775_gt.ply,36.33858267716535,51.87007874015749
ground_266_gt.ply,35.49212598425197,51.67322834645669
ground_723_gt.ply,34.78346456692913,51.889763779527556
ground_321_gt.ply,33.85826771653544,47.322834645669296
ground_634_gt.ply,33.48425196850393,48.85826771653544
ground_571_gt.ply,33.85826771653544,50.29527559055118
ground_16_gt.ply,37.10629921259843,57.48031496062993
ground_145_gt.ply,37.00787401574803,57.677165354330704
ground_596_gt.ply,34.52755905511811,51.24015748031495
ground_23_gt.ply,36.87007874015748,52.75590551181103
ground_484_gt.ply,36.29921259842519,54.389763779527556
ground_798_gt.ply,36.29921259842519,52.795275590551185
ground_656_gt.ply,35.17716535433071,51.41732283464566
ground_373_gt.ply,36.830708661417326,53.22834645669291
ground_486_gt.ply,32.814960629921266,52.047244094488185
ground_436_gt.ply,35.846456692913385,53.838582677165356
ground_433_gt.ply,37.047244094488185,57.834645669291326
ground_435_gt.ply,36.29921259842519,53.95669291338583
ground_196_gt.ply,35.78740157480315,54.74409448818898
ground_334_gt.ply,36.673228346456696,54.29133858267716
ground_608_gt.ply,34.90157480314961,48.36614173228347
ground_518_gt.ply,33.031496062992126,50.728346456692904
ground_143_gt.ply,34.409448818897644,51.161417322834644
ground_697_gt.ply,32.066929133858274,47.30314960629921
ground_209_gt.ply,34.645669291338585,47.73622047244095
ground_712_gt.ply,35.86614173228347,58.01181102362204
ground_185_gt.ply,35.688976377952756,53.77952755905512
ground_126_gt.ply,36.53543307086614,58.44488188976378
ground_140_gt.ply,35.45275590551181,55.118110236220474
ground_607_gt.ply,29.173228346456693,40.39370078740158
ground_10_gt.ply,37.047244094488185,58.562992125984245
ground_237_gt.ply,34.82283464566929,46.39763779527559
ground_594_gt.ply,35.86614173228347,53.36614173228347
ground_784_gt.ply,34.88188976377952,50.53149606299213
ground_638_gt.ply,35.64960629921259,51.31889763779528
ground_179_gt.ply,35.72834645669291,58.6023622047244
ground_806_gt.ply,33.91732283464567,54.37007874015748
ground_370_gt.ply,36.79133858267716,56.12204724409449
ground_652_gt.ply,34.468503937007874,47.874015748031496
ground_630_gt.ply,34.58661417322835,47.91338582677165
ground_398_gt.ply,37.28346456692913,52.06692913385827
ground_220_gt.ply,34.468503937007874,46.12204724409449
ground_599_gt.ply,34.76377952755905,52.775590551181104
ground_505_gt.ply,33.95669291338583,45.21653543307087
ground_708_gt.ply,33.169291338582674,46.22047244094488
ground_422_gt.ply,37.75590551181102,54.09448818897638
ground_443_gt.ply,36.43700787401575,48.72047244094488
ground_303_gt.ply,36.8503937007874,57.36220472440945
ground_52_gt.ply,35.15748031496063,57.51968503937008
ground_765_gt.ply,34.82283464566929,50.70866141732283
ground_226_gt.ply,33.60236220472441,51.830708661417326
ground_358_gt.ply,37.28346456692913,53.81889763779528
ground_670_gt.ply,34.92125984251969,57.61811023622047
ground_575_gt.ply,35.17716535433071,51.67322834645669
ground_324_gt.ply,33.97637795275591,47.91338582677165
ground_578_gt.ply,35.15748031496063,53.503937007874015
ground_131_gt.ply,37.42125984251968,54.84251968503937
ground_43_gt.ply,36.53543307086614,50.196850393700785
ground_387_gt.ply,37.65748031496064,58.26771653543308
ground_722_gt.ply,34.80314960629921,49.5472440944882
ground_540_gt.ply,35.47244094488189,53.070866141732274
ground_604_gt.ply,35.76771653543307,53.87795275590551
ground_406_gt.ply,35.80708661417323,52.85433070866142
ground_315_gt.ply,33.661417322834644,48.976377952755904
ground_459_gt.ply,36.39763779527559,52.38188976377953
ground_620_gt.ply,33.425196850393704,46.161417322834644
ground_313_gt.ply,34.92125984251969,47.69685039370079
ground_568_gt.ply,34.625984251968504,47.814960629921266
ground_691_gt.ply,35.275590551181104,50.68897637795276
ground_759_gt.ply,33.72047244094488,48.464566929133866
ground_745_gt.ply,35.25590551181102,54.05511811023622
ground_709_gt.ply,35.90551181102362,48.85826771653544
ground_210_gt.ply,35.846456692913385,57.1259842519685
ground_349_gt.ply,37.00787401574803,51.79133858267717
ground_289_gt.ply,34.50787401574804,53.188976377952756
ground_170_gt.ply,34.409448818897644,49.13385826771653
ground_625_gt.ply,34.90157480314961,54.44881889763779
ground_600_gt.ply,33.36614173228347,49.50787401574803
ground_368_gt.ply,37.00787401574803,55.00000000000001
ground_717_gt.ply,36.20078740157481,51.811023622047244
ground_44_gt.ply,36.771653543307096,55.33464566929134
ground_62_gt.ply,36.96850393700787,57.04724409448819
ground_565_gt.ply,35.41338582677166,47.71653543307087
ground_103_gt.ply,36.27952755905512,53.36614173228347
ground_483_gt.ply,36.16141732283465,50.88582677165354
ground_165_gt.ply,37.460629921259844,53.40551181102362
ground_499_gt.ply,34.90157480314961,52.75590551181103
ground_211_gt.ply,34.645669291338585,52.38188976377953
ground_124_gt.ply,36.69291338582678,52.736220472440955
ground_263_gt.ply,35.629921259842526,51.830708661417326
ground_28_gt.ply,33.05118110236221,50.905511811023615
ground_56_gt.ply,36.63385826771654,56.27952755905512
ground_796_gt.ply,34.60629921259843,54.862204724409445
ground_249_gt.ply,33.346456692913385,48.188976377952756
ground_327_gt.ply,37.51968503937008,52.34251968503938
ground_278_gt.ply,33.740157480314956,48.38582677165355
ground_662_gt.ply,33.740157480314956,50.11811023622048
ground_610_gt.ply,36.259842519685044,53.42519685039371
ground_741_gt.ply,33.89763779527559,49.3503937007874
ground_275_gt.ply,33.58267716535433,52.71653543307087
ground_343_gt.ply,35.511811023622045,55.15748031496063
ground_445_gt.ply,36.71259842519685,47.93307086614173
ground_673_gt.ply,35.82677165354331,53.34645669291339
ground_376_gt.ply,36.259842519685044,53.48425196850394
ground_756_gt.ply,33.54330708661416,44.60629921259843
ground_47_gt.ply,35.53149606299213,48.48425196850393
ground_501_gt.ply,34.42913385826772,49.58661417322834
ground_374_gt.ply,34.68503937007874,52.34251968503938
ground_440_gt.ply,34.645669291338585,45.62992125984252
ground_60_gt.ply,34.50787401574804,46.94881889763779
ground_699_gt.ply,36.16141732283465,54.133858267716526
ground_287_gt.ply,34.90157480314961,50.03937007874016
ground_322_gt.ply,36.318897637795274,53.5236220472441
ground_675_gt.ply,33.779527559055126,44.389763779527556
ground_534_gt.ply,33.89763779527559,46.59448818897637
ground_286_gt.ply,36.771653543307096,53.64173228346456
ground_93_gt.ply,35.55118110236221,46.65354330708662
ground_0_gt.ply,33.38582677165355,54.3503937007874
ground_467_gt.ply,36.555118110236215,55.94488188976378
ground_589_gt.ply,33.818897637795274,45.78740157480315
ground_439_gt.ply,36.5748031496063,53.95669291338583
ground_144_gt.ply,36.39763779527559,55.826771653543304
ground_279_gt.ply,35.629921259842526,55.90551181102362
ground_777_gt.ply,34.21259842519685,48.72047244094488
ground_277_gt.ply,36.673228346456696,60.17716535433071
ground_105_gt.ply,35.86614173228347,49.055118110236215
ground_294_gt.ply,33.87795275590551,48.38582677165355
ground_582_gt.ply,31.75196850393701,47.125984251968504
ground_70_gt.ply,36.771653543307096,52.38188976377953
ground_83_gt.ply,36.8503937007874,53.30708661417323
ground_288_gt.ply,36.496062992125985,60.47244094488189
ground_645_gt.ply,35.0,53.34645669291339
ground_755_gt.ply,34.54724409448819,49.21259842519685
ground_617_gt.ply,35.15748031496063,50.433070866141726
ground_273_gt.ply,37.02755905511811,53.444881889763785
ground_394_gt.ply,35.118110236220474,46.102362204724415
ground_96_gt.ply,36.33858267716535,53.681102362204726
ground_678_gt.ply,35.64960629921259,55.15748031496063
ground_614_gt.ply,34.330708661417326,49.78346456692914
ground_337_gt.ply,35.66929133858268,56.496062992125985
ground_152_gt.ply,36.811023622047244,51.96850393700787
ground_455_gt.ply,35.98425196850394,51.92913385826772
ground_615_gt.ply,34.42913385826772,45.66929133858268
ground_740_gt.ply,35.47244094488189,46.88976377952755
ground_39_gt.ply,33.031496062992126,43.051181102362214
ground_496_gt.ply,33.30708661417323,46.08267716535433
ground_793_gt.ply,33.12992125984252,51.90944881889763
ground_795_gt.ply,33.346456692913385,44.1732283464567
ground_375_gt.ply,37.08661417322835,59.27165354330709
ground_234_gt.ply,36.082677165354326,52.795275590551185
ground_2_gt.ply,35.25590551181102,51.90944881889763
ground_15_gt.ply,34.645669291338585,54.665354330708674
ground_742_gt.ply,35.17716535433071,47.65748031496063
ground_310_gt.ply,34.330708661417326,55.43307086614173
ground_707_gt.ply,35.295275590551185,49.21259842519685
ground_621_gt.ply,34.232283464566926,52.71653543307087
ground_426_gt.ply,36.732283464566926,56.41732283464567
ground_458_gt.ply,36.96850393700787,55.15748031496063
ground_276_gt.ply,34.153543307086615,47.18503937007875
ground_326_gt.ply,36.29921259842519,50.84645669291338
ground_790_gt.ply,35.55118110236221,52.874015748031496
