base_name,GT_Median_Distance_Metric,Completed_Median_Distance_Metric
ground_128_gt.ply,0.0,0.007355797701469885
ground_604_gt.ply,0.016728504876237064,0.010497009565923933
ground_155_gt.ply,0.016100975401212768,0.009966323959693095
ground_62_gt.ply,0.01400601559757331,0.007949366374184313
ground_281_gt.ply,0.014631328044422031,0.009306941990584822
ground_381_gt.ply,0.01776620719497396,0.011689614706596596
ground_136_gt.ply,0.009120292173945648,0.008463915401733125
ground_147_gt.ply,0.0,0.003058983498459963
ground_616_gt.ply,0.01121091929874442,0.005945041419580688
ground_13_gt.ply,0.0,0.007398789455756383
ground_70_gt.ply,0.0,0.005254833396690674
ground_124_gt.ply,0.0,0.006412087850171414
ground_393_gt.ply,0.017838998794554597,0.012072612013588365
ground_293_gt.ply,0.016674345274898243,0.012330409545316301
ground_159_gt.ply,0.019976997456716918,0.013742587404678068
ground_608_gt.ply,0.0176742857690027,0.011417909440053723
ground_58_gt.ply,0.0,0.0010308158134775566
ground_25_gt.ply,0.009248110509447693,0.005822344603288069
ground_620_gt.ply,0.015142131256256871,0.010395835994535937
ground_171_gt.ply,0.0144735953325997,0.009217486441023244
ground_497_gt.ply,0.015307464964224152,0.010312314705259257
ground_597_gt.ply,0.013720107375220534,0.009189280998109681
ground_6_gt.ply,0.01518317756094124,0.009244398383398574
ground_112_gt.ply,0.013787644033011769,0.007985821864603154
ground_46_gt.ply,0.014018288046462508,0.00801062561040144
ground_489_gt.ply,0.015706178627959817,0.01001615873581658
ground_589_gt.ply,0.019582714471936602,0.012765055141277001
ground_37_gt.ply,0.006358657033559769,0.005935480182736453
ground_585_gt.ply,0.018043261015884528,0.011945260594845368
ground_485_gt.ply,0.017866697944076162,0.011036449036455379
ground_163_gt.ply,0.02040869788795195,0.01322039272922787
ground_632_gt.ply,0.013780995451905816,0.007651676618930942
ground_100_gt.ply,0.007074634265541869,0.008355777575610221
ground_54_gt.ply,0.0136290825219881,0.00843144232135092
ground_29_gt.ply,0.01617794223281374,0.009587235625777464
ground_260_gt.ply,0.020320464574126756,0.013428163244412036
ground_531_gt.ply,0.013936464900932533,0.009747246337917247
