base_name,GT_Density_Metric,Completed_Density_Metric
ground_779_gt.ply,0.008984135322505322,0.004617955404750492
ground_679_gt.ply,0.019560188178751055,0.006081989620375484
ground_128_gt.ply,0.03985608974962975,0.016800459165570585
ground_1417_gt.ply,0.04157437664583026,0.017206335079309333
ground_1346_gt.ply,0.039091648626876925,0.016495673729567124
ground_1246_gt.ply,0.01315268798459698,0.003906038703309269
ground_704_gt.ply,0.013315758036691699,0.004510989326727284
ground_604_gt.ply,0.0392960829627659,0.01653357097845317
ground_155_gt.ply,0.037914697872872674,0.01604705635426718
ground_911_gt.ply,0.02326647889230929,0.006431472949728552
ground_811_gt.ply,0.016298705134124084,0.006233197305915098
ground_972_gt.ply,0.015477130602169783,0.00588658650515383
ground_1409_gt.ply,0.0388829866767645,0.016695787991678587
ground_1358_gt.ply,0.039241555100369425,0.016814006221795914
ground_872_gt.ply,0.019249650590469403,0.005834421586010873
ground_1258_gt.ply,0.015968928544211204,0.0047454326768150345
ground_62_gt.ply,0.038602779213949376,0.01640296093391426
ground_281_gt.ply,0.040626985775704,0.01761522428606825
ground_767_gt.ply,0.013668337874071887,0.004730245663824304
ground_381_gt.ply,0.03724584592647374,0.01581457227090581
ground_667_gt.ply,0.017220637578299447,0.005014917227138154
ground_136_gt.ply,0.039141191525668494,0.016752543492495317
ground_1192_gt.ply,0.020827944336013517,0.005859285242946342
ground_1325_gt.ply,0.03959580119436556,0.01655043060081954
ground_1092_gt.ply,0.015184171650888303,0.004587469562717123
ground_1225_gt.ply,0.015686751365133252,0.0052000832543110526
ground_1254_gt.ply,0.013700949081517705,0.004814615740485922
ground_1354_gt.ply,0.03985854689689725,0.0166675566803974
ground_1405_gt.ply,0.038671179061288634,0.016737264308165207
ground_147_gt.ply,0.04009501013499568,0.0170130316220216
ground_616_gt.ply,0.03922180901239016,0.01629716232788307
ground_716_gt.ply,0.010897482953175355,0.004155849677048611
ground_1229_gt.ply,0.01623420520652999,0.005484227187628188
ground_803_gt.ply,0.022654185624424773,0.005960969080904936
ground_13_gt.ply,0.03916966390255437,0.016157867877714085
ground_1329_gt.ply,0.04032380668979787,0.01685433816683703
ground_903_gt.ply,0.017862935040179294,0.006359811923749681
ground_860_gt.ply,0.017767279368567156,0.005732968236117184
ground_70_gt.ply,0.0403700637003913,0.017158436739998832
ground_960_gt.ply,0.016247035330268233,0.006164505749859567
ground_124_gt.ply,0.03980419361041736,0.017117319190978468
ground_675_gt.ply,0.009678205154110517,0.0038667911853329283
ground_393_gt.ply,0.03982750044599016,0.017323873456942175
ground_775_gt.ply,0.0028567355326527878,0.0032546761089396344
ground_293_gt.ply,0.03975801200245933,0.017120750836867572
ground_1237_gt.ply,0.004973075624726137,0.002734298348839838
ground_1080_gt.ply,0.01856488596720137,0.00590113822644209
ground_1337_gt.ply,0.04010641131584984,0.017143498822208114
ground_1180_gt.ply,0.018448539544020603,0.005150274520403721
ground_159_gt.ply,0.04094012087013816,0.01699034566205277
ground_608_gt.ply,0.03982003631893222,0.01679815571737079
ground_708_gt.ply,0.0026431825346427762,0.0037658091481623662
ground_58_gt.ply,0.04062981121427487,0.016846233054244795
ground_848_gt.ply,0.017637535937552667,0.0052311732692190424
ground_1262_gt.ply,0.01855759503257346,0.005753466293586388
ground_1433_gt.ply,0.041227264816179075,0.017218725572940033
ground_948_gt.ply,0.016964065882212526,0.006152017116821451
ground_1362_gt.ply,0.04053503454984596,0.016845714418300496
ground_25_gt.ply,0.039729117512733315,0.016997822572696004
ground_835_gt.ply,0.015267176548150671,0.006185239490851848
ground_935_gt.ply,0.021680648032402394,0.006035085935569508
ground_620_gt.ply,0.040461257533375185,0.017469133445154775
ground_171_gt.ply,0.03757063451498834,0.015719664075446883
ground_497_gt.ply,0.03917476638415223,0.01635420008125383
ground_720_gt.ply,0.011917227116292043,0.004453805849809449
ground_597_gt.ply,0.039248756833677366,0.01635083852949449
