base_name,Precision,Recall,Fscore
ground_779_gt.ply,74.51171875,26.61489151873767,39.220563334139655
ground_679_gt.ply,81.298828125,32.06360946745562,45.98937585539848
ground_128_gt.ply,85.205078125,29.388560157790927,43.7032038034503
ground_nofloor_164_gt.ply,88.28125,67.86242603550295,76.73675874115521
ground_nofloor_482_gt.ply,94.970703125,80.88017751479289,87.36091965542907
ground_nofloor_582_gt.ply,93.798828125,89.50936883629191,91.6039112514481
ground_704_gt.ply,85.986328125,33.38264299802761,48.0937527986181
ground_604_gt.ply,83.837890625,32.149901380670606,46.47695880658582
ground_155_gt.ply,83.69140625,30.57199211045365,44.784472513523674
ground_nofloor_119_gt.ply,88.8671875,76.14644970414201,82.01650406561006
ground_62_gt.ply,88.671875,32.43343195266272,47.494751407577056
ground_nofloor_65_gt.ply,98.6328125,94.97041420118343,96.76697249897028
ground_281_gt.ply,88.330078125,31.854043392504934,46.82266019720895
ground_767_gt.ply,84.619140625,30.276134122287967,44.59609773352702
ground_381_gt.ply,87.40234375,33.321005917159766,48.248065039560785
ground_667_gt.ply,89.111328125,34.07297830374753,49.29667484189648
ground_136_gt.ply,87.3046875,30.214497041420117,44.89253788586545
ground_nofloor_107_gt.ply,83.49609375,80.07889546351085,81.75180075103417
ground_nofloor_18_gt.ply,89.208984375,90.15039447731755,89.67721881941823
ground_nofloor_69_gt.ply,62.20703125,34.25788954635108,44.183555804039415
ground_nofloor_590_gt.ply,86.328125,64.5956607495069,73.89719583229108
ground_nofloor_490_gt.ply,97.16796875,92.38165680473372,94.71438326723106
ground_nofloor_176_gt.ply,74.21875,37.33974358974359,49.68351589154246
ground_nofloor_627_gt.ply,95.80078125,85.0714990138067,90.11791144275321
ground_147_gt.ply,87.6953125,30.52268244575937,45.2840733197556
ground_616_gt.ply,83.203125,30.498027613412226,44.63510079620532
ground_nofloor_14_gt.ply,97.36328125,93.91025641025641,95.60560042939244
ground_716_gt.ply,83.203125,29.561143984220905,43.62338496436844
ground_803_gt.ply,86.03515625,29.622781065088756,44.071347918842086
ground_13_gt.ply,84.765625,30.436390532544376,44.790182781244354
ground_70_gt.ply,89.404296875,31.89102564102564,47.0124431002983
ground_nofloor_168_gt.ply,85.400390625,72.534516765286,78.4434064376073
ground_124_gt.ply,91.40625,33.41962524654832,48.9443813497599
ground_675_gt.ply,86.03515625,33.25936883629191,47.97328280634676
ground_393_gt.ply,92.431640625,33.875739644970416,49.580478766598425
ground_775_gt.ply,83.88671875,27.798323471400394,41.75868310358327
ground_nofloor_77_gt.ply,97.412109375,94.42800788954635,95.89684956160937
ground_293_gt.ply,87.841796875,30.017258382642996,44.744460369692746
ground_nofloor_115_gt.ply,98.92578125,91.284516765286,94.95166382956747
ground_159_gt.ply,85.302734375,31.29930966469428,45.795366975545974
ground_608_gt.ply,82.080078125,29.080374753451675,42.9454787176437
ground_708_gt.ply,84.1796875,31.607495069033533,45.95861128208541
ground_58_gt.ply,86.767578125,30.498027613412226,45.13241503238719
ground_nofloor_611_gt.ply,88.96484375,66.58037475345168,76.16193790779663
ground_nofloor_140_gt.ply,95.60546875,83.83875739644971,89.33632329594673
ground_25_gt.ply,88.18359375,30.85552268244576,45.71523980887133
ground_620_gt.ply,84.619140625,31.27465483234714,45.66999302789589
ground_171_gt.ply,88.427734375,37.22879684418146,52.397724598903835
ground_497_gt.ply,84.716796875,31.97731755424063,46.42934957088399
ground_720_gt.ply,83.88671875,32.21153846153847,46.548851504367526
ground_597_gt.ply,88.818359375,33.764792899408285,48.92896706145778
ground_nofloor_22_gt.ply,93.84765625,85.90976331360946,89.70344540489454
ground_6_gt.ply,85.25390625,31.385601577909274,45.88059713816252
ground_643_gt.ply,80.2734375,27.896942800788953,41.40474477640112
ground_112_gt.ply,86.572265625,34.47978303747535,49.31751207508472
ground_nofloor_41_gt.ply,94.287109375,94.81015779092702,94.54791019957067
ground_743_gt.ply,82.8125,30.263806706114398,44.327968711673165
ground_46_gt.ply,80.810546875,30.276134122287967,44.04904231034988
ground_489_gt.ply,87.01171875,28.59960552268245,43.049430455985096
ground_589_gt.ply,85.44921875,32.61834319526627,47.213847682346085
ground_nofloor_294_gt.ply,88.671875,78.37771203155819,83.2076128716844
ground_nofloor_394_gt.ply,91.845703125,68.73767258382642,78.6290591011728
ground_nofloor_123_gt.ply,97.16796875,94.94575936883629,96.04401173860253
ground_nofloor_152_gt.ply,88.916015625,66.5680473372781,76.13597721077248
ground_nofloor_603_gt.ply,94.970703125,88.46153846153845,91.60063066936954
ground_nofloor_398_gt.ply,96.240234375,88.39990138067061,92.15360672026955
ground_nofloor_298_gt.ply,87.060546875,67.8870808678501,76.28753627530259
ground_37_gt.ply,91.845703125,36.785009861932934,52.530923863766546
ground_nofloor_30_gt.ply,94.873046875,81.18836291913215,87.4988717849975
ground_585_gt.ply,87.59765625,34.92357001972387,49.937843013028015
ground_732_gt.ply,86.865234375,31.595167652859963,46.336524210640995
ground_485_gt.ply,87.353515625,31.693786982248522,46.51199406849385
ground_163_gt.ply,82.470703125,29.709072978303748,43.68217200676853
ground_632_gt.ply,79.052734375,25.382149901380668,38.42640067872573
ground_751_gt.ply,85.986328125,33.3086785009862,48.01694622433665
ground_nofloor_53_gt.ply,95.654296875,84.72633136094674,89.85929068312834
ground_100_gt.ply,84.86328125,30.929487179487182,45.335780550569815
ground_651_gt.ply,82.51953125,33.049802761341226,47.19684949474915
ground_54_gt.ply,86.1328125,29.99260355029586,44.49236671609558
ground_nofloor_131_gt.ply,84.130859375,65.58185404339251,73.70727059975387
ground_nofloor_386_gt.ply,98.53515625,94.0828402366864,96.25754116704715
ground_29_gt.ply,92.1875,32.42110453648915,47.97133529542702
ground_nofloor_286_gt.ply,87.548828125,73.3604536489152,79.82910217329761
ground_nofloor_351_gt.ply,94.189453125,73.59467455621301,82.62810368490206
ground_nofloor_400_gt.ply,93.212890625,79.54881656804734,85.84049392172241
ground_nofloor_251_gt.ply,83.251953125,51.984714003944774,64.00378041476674
ground_nofloor_500_gt.ply,61.376953125,33.740138067061146,43.54352822652093
ground_nofloor_84_gt.ply,90.13671875,79.22830374753451,84.33121817741379
ground_260_gt.ply,88.525390625,35.959072978303745,51.143586754110224
ground_531_gt.ply,84.814453125,29.450197238658777,43.71959946091326
ground_786_gt.ply,83.740234375,31.27465483234714,45.54100679846027
ground_360_gt.ply,91.30859375,32.07593688362919,47.474487685244306
ground_431_gt.ply,89.208984375,31.6198224852071,46.69039318225837
ground_686_gt.ply,82.861328125,33.53057199211045,47.741942957571084
ground_83_gt.ply,87.353515625,30.325443786982248,45.02137240026418
ground_203_gt.ply,85.205078125,30.11587771203156,44.50233168172544
ground_552_gt.ply,84.27734375,33.93737672583826,48.389099983217456
ground_303_gt.ply,91.357421875,35.03451676528599,50.64663399810876
ground_452_gt.ply,86.81640625,31.582840236686387,46.31631990707527
ground_nofloor_185_gt.ply,86.03515625,62.845167652859956,72.63409531670676
ground_nofloor_332_gt.ply,98.2421875,91.76528599605523,94.89334568729738
ground_nofloor_463_gt.ply,98.681640625,89.91617357001972,94.09521064158886
ground_nofloor_232_gt.ply,82.177734375,58.321005917159766,68.2239303039588
ground_nofloor_563_gt.ply,88.37890625,82.47041420118343,85.3224933624203
ground_798_gt.ply,87.20703125,30.1405325443787,44.79797072046564
ground_698_gt.ply,80.95703125,29.561143984220905,43.30839614831598
ground_nofloor_512_gt.ply,93.65234375,76.09714003944774,83.96697719806873
ground_nofloor_243_gt.ply,76.5625,46.129191321499015,57.571399864359094
ground_nofloor_412_gt.ply,93.408203125,76.82445759368836,84.30855171485194
ground_nofloor_343_gt.ply,97.216796875,87.11785009861933,91.890683344366
ground_694_gt.ply,83.154296875,31.176035502958584,45.34966806583593
ground_423_gt.ply,87.646484375,32.18688362919132,47.083166234419615
ground_372_gt.ply,90.771484375,32.149901380670606,47.482287201577634
ground_794_gt.ply,87.353515625,30.682938856015777,45.41414922304312
