base_name,GT_Density_Metric,Completed_Density_Metric
ground_nofloor_164_gt.ply,0.019241060105403423,0.015817096446474027
ground_nofloor_482_gt.ply,0.011751270601471468,0.00935683108917014
ground_nofloor_582_gt.ply,0.0162376003534311,0.010901267198077866
ground_nofloor_119_gt.ply,0.016083801361527643,0.011743430248142405
ground_nofloor_65_gt.ply,0.007640593198807158,0.008452303300976962
ground_nofloor_107_gt.ply,0.016252256148419273,0.009942405414166935
ground_nofloor_18_gt.ply,0.0,0.0035809675822635802
ground_nofloor_69_gt.ply,0.005193180824308995,0.00965878115045414
ground_nofloor_590_gt.ply,0.008206959568682665,0.008222453637629709
ground_nofloor_490_gt.ply,0.014579621810029595,0.010822111263185425
ground_nofloor_176_gt.ply,0.017202332769856332,0.015406711670670828
ground_nofloor_627_gt.ply,0.010943155725450317,0.010151550909236706
ground_nofloor_14_gt.ply,0.008148825010130967,0.008708567882994189
ground_nofloor_168_gt.ply,0.01834075544894164,0.01318766827149795
ground_nofloor_77_gt.ply,0.009504072623973936,0.008442663186490182
ground_nofloor_115_gt.ply,0.012311866789678867,0.009788833511308433
ground_nofloor_611_gt.ply,0.017661733020221622,0.013810868236610032
ground_nofloor_140_gt.ply,0.017436286956157475,0.013245036634574697
ground_nofloor_22_gt.ply,0.00940497441630686,0.00953920924328925
ground_nofloor_41_gt.ply,0.00817822489791513,0.007814795294654509
ground_nofloor_294_gt.ply,0.015592823891976504,0.010200609902213208
ground_nofloor_394_gt.ply,0.01841312715811102,0.014453927078011276
ground_nofloor_123_gt.ply,0.003153703779849217,0.005372138068991291
ground_nofloor_152_gt.ply,0.021853402957153965,0.01563032789030076
ground_nofloor_603_gt.ply,0.013413095093266663,0.011009616024688822
ground_nofloor_398_gt.ply,0.01674123075193512,0.012593808373824854
ground_nofloor_298_gt.ply,0.01670168509627701,0.013451045921126626
ground_nofloor_30_gt.ply,0.01921396293171397,0.013181548269453688
ground_nofloor_53_gt.ply,0.01549776903337261,0.012654783909458634
ground_nofloor_131_gt.ply,0.017953518796785674,0.011766928936048896
ground_nofloor_386_gt.ply,0.01115742187183887,0.008417466021680902
ground_nofloor_286_gt.ply,0.014582131454387368,0.01150773250592377
ground_nofloor_351_gt.ply,0.019588402277292232,0.014085666721232269
ground_nofloor_400_gt.ply,0.01746553831410284,0.013689762856727693
ground_nofloor_251_gt.ply,0.02191325839412205,0.017084573299885396
ground_nofloor_500_gt.ply,0.019459824709531552,0.016200822409055005
ground_nofloor_84_gt.ply,0.010515343401977774,0.007391017925311396
ground_nofloor_185_gt.ply,0.02497604780725137,0.016154849458998765
ground_nofloor_332_gt.ply,0.011309781733460552,0.010536202714629581
ground_nofloor_463_gt.ply,0.005802681498797322,0.007185362631744453
ground_nofloor_232_gt.ply,0.01967043723682878,0.015896566241782855
ground_nofloor_563_gt.ply,0.020106567837155295,0.012157569045918092
ground_nofloor_512_gt.ply,0.019435265765529237,0.013761245217412668
ground_nofloor_243_gt.ply,0.017945297218228257,0.01440608362264687
ground_nofloor_412_gt.ply,0.01716615041986058,0.01452261026354518
ground_nofloor_343_gt.ply,0.005225137705658654,0.006374070660292379
ground_nofloor_96_gt.ply,0.000596068512943148,0.0038424481849026245
ground_nofloor_189_gt.ply,0.020240572624061353,0.013740965131617903
ground_nofloor_571_gt.ply,0.017603298867483613,0.015338963066776713
ground_nofloor_220_gt.ply,0.015945061097243227,0.013338667844268251
ground_nofloor_471_gt.ply,0.006902943333937752,0.007795725237249148
ground_nofloor_320_gt.ply,0.013216651944511914,0.011556123815491513
ground_nofloor_197_gt.ply,0.019093331773350614,0.014000393811472108
ground_nofloor_88_gt.ply,0.014963127135411178,0.009765883141410709
ground_nofloor_275_gt.ply,0.019276930779097656,0.013935394799601658
ground_nofloor_524_gt.ply,0.019522557321937223,0.014822095821475744
ground_nofloor_375_gt.ply,0.015179551805901803,0.010694444157959093
ground_nofloor_424_gt.ply,0.019669245029824083,0.01428373600752837
ground_nofloor_208_gt.ply,0.014930571550823873,0.012450638116802104
ground_nofloor_559_gt.ply,0.018270528972941957,0.014962680180776447
ground_nofloor_308_gt.ply,0.020436248975148934,0.014692233500013694
ground_nofloor_459_gt.ply,0.020095786827487565,0.014986110495005873
ground_nofloor_216_gt.ply,0.01932632237620592,0.013559306391430055
ground_nofloor_547_gt.ply,0.014026174728347326,0.011028269996160342
ground_nofloor_316_gt.ply,0.007930425083851332,0.0070237719806871095
ground_nofloor_447_gt.ply,0.009548573958804905,0.0066455241201227085
ground_nofloor_6_gt.ply,0.015718638589790924,0.011698769473329105
ground_nofloor_436_gt.ply,0.012622277693167195,0.01038121334611661
ground_nofloor_367_gt.ply,0.0176945723458309,0.014173406571532727
ground_nofloor_536_gt.ply,0.020898936120499208,0.01455426927561044
ground_nofloor_267_gt.ply,0.017786812775667057,0.014263026031057517
ground_nofloor_428_gt.ply,0.019593527665456266,0.013524707823541442
ground_nofloor_379_gt.ply,0.019222002148420996,0.013323778224439649
ground_nofloor_528_gt.ply,0.016292996667419627,0.009374971115150168
ground_nofloor_279_gt.ply,0.017226475666802587,0.013928059668103728
ground_nofloor_455_gt.ply,0.018383985604490817,0.012957886274839882
ground_nofloor_304_gt.ply,0.018085178139206702,0.014366824809051089
ground_nofloor_555_gt.ply,0.020601677264694994,0.014420168061234293
ground_nofloor_204_gt.ply,0.01850456231004149,0.01334435371345477
ground_nofloor_573_gt.ply,0.018610079846460886,0.014107453790573874
ground_nofloor_222_gt.ply,0.020031793737805947,0.015036002249401121
ground_nofloor_473_gt.ply,0.01739803084013879,0.013433636885256336
ground_nofloor_322_gt.ply,0.0050838370705398655,0.005851484370210639
ground_nofloor_195_gt.ply,0.019792550129756267,0.014418454443275028
ground_nofloor_510_gt.ply,0.01977777266948951,0.015263250245236911
ground_nofloor_241_gt.ply,0.01653216277190116,0.01359576639912471
ground_nofloor_410_gt.ply,0.01647224840152093,0.010955460532934762
ground_nofloor_341_gt.ply,0.0048995035066302425,0.006512976199857788
ground_nofloor_94_gt.ply,0.0060960903727099855,0.006611958024903074
ground_nofloor_98_gt.ply,0.013707654931696298,0.010356096214123001
ground_nofloor_187_gt.ply,0.016180716990012986,0.014191897766321243
